Date,Open,High,Low,Close,Volume
2018-01-01,42.48,43.5,42.48,43.48,1920000
2018-01-02,43.05,45.6,43.05,45.18,3590000
2018-01-03,45.7,46.0,44.6,45.14,1804000
2018-01-04,44.71,46.0,44.71,45.66,1052500
2018-01-05,45.51,46.2,45.3,45.71,920000
2018-01-08,46.0,46.49,45.6,46.01,3914000
2018-01-09,46.0,46.0,44.5,44.71,1289000
2018-01-10,44.3,46.72,44.3,46.57,2211500
2018-01-11,46.51,46.9,45.75,46.21,553500
2018-01-12,45.97,46.5,45.47,46.19,345500
2018-01-15,45.35,46.89,45.35,46.06,365000
2018-01-16,46.75,47.0,46.25,46.59,423500
2018-01-17,46.94,46.95,46.1,46.86,651500
2018-01-18,46.99,47.0,46.3,46.61,2136500
2018-01-19,46.5,48.0,46.5,47.58,1492500
2018-01-22,47.35,47.7,47.0,47.43,874500
2018-01-23,47.03,47.03,46.3,46.9,475000
2018-01-24,47.0,47.3,46.35,46.52,572500
2018-01-25,47.02,47.02,46.04,46.15,62000
2018-01-26,46.49,47.47,45.66,45.98,531000
2018-01-29,48.27,48.27,48.27,48.27,1196500
2018-01-30,50.5,50.5,47.8,48.98,4955500
2018-01-31,48.89,49.3,47.7,48.08,847000
2018-02-01,48.5,48.9,47.76,48.15,441500
2018-02-02,48.29,48.5,47.7,47.88,507500
2018-02-06,47.9,47.9,45.75,47.24,797500
2018-02-07,47.98,48.45,47.8,48.01,854500
2018-02-08,48.0,48.2,47.5,47.61,1307500
2018-02-09,47.89,48.5,47.25,48.29,701000
2018-02-12,48.5,48.5,47.07,47.21,684000
2018-02-13,47.2,49.0,47.15,48.47,1054000
2018-02-14,49.4,49.4,48.0,48.36,1778500
2018-02-15,48.5,48.78,48.0,48.38,1534500
2018-02-16,48.5,49.5,48.4,49.21,2259000
2018-02-19,49.0,49.5,47.99,48.64,503000
2018-02-20,48.99,49.0,48.08,48.67,291500
2018-02-21,48.75,49.01,48.0,48.3,445500
2018-02-22,47.95,48.3,47.76,48.12,309500
2018-02-23,48.25,48.48,47.75,48.04,813000
2018-02-26,48.06,50.44,47.0,47.97,10601000
2018-02-27,47.9,47.99,47.25,47.44,766500
2018-02-28,47.51,47.8,47.1,47.33,1484500
2018-03-01,47.5,47.99,47.33,47.93,189500
2018-03-02,47.5,48.0,47.35,47.43,591500
2018-03-05,47.79,47.85,47.0,47.15,303500
2018-03-06,47.44,48.15,47.19,48.02,1066500
2018-03-07,48.2,48.49,47.8,48.05,2587500
2018-03-08,48.0,48.5,47.75,48.3,599500
2018-03-09,48.05,49.5,48.05,49.01,1114000
2018-03-12,49.0,49.65,49.0,49.4,300500
2018-03-13,49.5,49.7,49.5,49.62,300000
2018-03-14,49.51,49.7,49.03,49.58,630500
2018-03-15,49.74,50.7,49.5,50.54,2201500
2018-03-16,50.75,50.95,50.05,50.58,2038500
2018-03-19,48.1,49.25,48.1,49.0,421500
2018-03-20,48.51,50.75,48.51,50.44,4848000
2018-03-21,50.5,51.5,49.75,51.28,3271000
2018-03-22,51.28,51.9,50.24,51.5,1790500
2018-03-26,50.56,51.5,50.56,51.04,439500
2018-03-27,51.39,51.74,51.0,51.52,891000
2018-03-28,51.69,52.15,51.69,51.96,2442000
2018-03-29,52.0,52.7,51.3,52.48,771000
2018-03-30,52.9,53.0,52.27,52.83,322500
2018-04-02,51.55,51.99,50.75,51.2,1887000
2018-04-03,51.7,52.5,51.11,52.16,11090000
2018-04-04,52.48,54.7,52.48,54.19,4626000
2018-04-05,54.25,55.49,53.49,54.73,2201500
2018-04-06,55.89,56.0,53.51,53.94,1397500
2018-04-09,53.94,53.94,53.0,53.16,326500
2018-04-10,52.75,53.0,52.1,52.59,220500
2018-04-11,52.5,52.55,52.01,52.12,95500
2018-04-12,51.85,52.7,51.5,51.97,643000
2018-04-13,51.55,52.25,51.0,51.72,1478000
2018-04-16,51.75,52.0,51.1,51.34,64500
2018-04-17,52.0,52.4,51.64,51.99,247000
2018-04-18,51.9,53.9,51.89,52.8,373500
2018-04-19,53.0,54.2,52.8,53.74,3455000
2018-04-20,54.0,54.3,53.5,53.89,683000
2018-04-23,53.89,56.0,53.89,54.62,1652000
2018-04-24,54.75,55.0,53.0,53.6,1308000
2018-04-25,53.52,53.99,52.0,52.26,456000
2018-04-26,52.85,54.83,52.0,52.96,1131000
2018-04-27,53.1,53.5,52.35,52.65,2840500
2018-04-30,53.0,53.95,51.6,51.87,627500
2018-05-02,52.01,52.75,51.8,51.98,10822000
2018-05-03,52.0,52.49,51.13,51.5,3729000
2018-05-04,51.5,51.5,51.0,51.5,126000
2018-05-07,51.01,51.01,50.55,50.76,104000
2018-05-08,50.4,50.5,49.0,49.88,4719500
2018-05-09,50.0,50.5,49.5,50.36,269500
2018-05-10,50.5,50.55,49.5,50.0,677000
2018-05-11,50.0,50.0,49.5,49.98,68500
2018-05-14,49.5,49.5,49.0,49.02,81500
2018-05-15,49.5,49.5,48.61,48.7,539500
2018-05-16,47.8,49.49,47.8,48.64,91500
2018-05-17,48.0,48.5,47.9,48.11,249500
2018-05-18,48.2,48.2,47.15,47.95,1738000
2018-05-21,48.0,48.0,47.3,47.54,572500
2018-05-22,47.8,49.0,47.6,48.65,915000
2018-05-23,48.55,49.5,48.49,49.39,426000
2018-05-24,49.6,50.25,49.55,50.1,453500
2018-05-25,50.1,50.25,50.0,50.12,111500
2018-05-28,50.6,51.65,50.5,50.68,1046000
2018-05-29,50.15,51.2,50.0,51.12,186000
2018-05-30,50.9,52.0,50.9,51.82,3554000
2018-05-31,51.05,52.75,50.55,52.71,4565500
2018-06-01,52.05,52.05,52.05,52.05,1000
2018-06-04,52.48,54.59,52.48,53.86,473000
2018-06-05,53.25,54.4,53.25,54.16,927500
2018-06-06,54.45,55.5,54.16,55.41,743000
