Date,Open,High,Low,Close,Volume
2018-01-01,515.0,528.0,507.0,522.93,129900
2018-01-02,520.0,544.0,517.0,540.48,806950
2018-01-03,540.48,552.0,535.0,543.19,656350
2018-01-04,544.9,563.95,540.0,558.49,857900
2018-01-05,559.99,578.0,559.99,574.9,476500
2018-01-08,580.0,585.0,571.0,574.85,425200
2018-01-09,572.14,576.0,559.99,570.57,509800
2018-01-10,571.5,590.0,566.2,583.89,540650
2018-01-11,584.25,590.0,571.81,579.36,615600
2018-01-12,582.0,585.0,572.0,579.3,686150
2018-01-15,575.0,585.0,571.0,580.64,438400
2018-01-16,586.4,609.67,580.0,600.52,1042550
2018-01-17,608.95,609.45,596.5,605.74,326350
2018-01-18,613.9,619.9,594.5,607.38,805000
2018-01-19,610.0,622.0,604.0,619.86,309650
2018-01-22,621.5,641.0,620.25,638.49,547300
2018-01-23,641.0,648.0,635.0,645.96,571800
2018-01-24,655.0,678.25,645.01,677.64,742700
2018-01-25,676.0,676.0,660.0,666.64,376250
2018-01-26,662.0,669.0,639.95,658.49,302700
2018-01-29,655.0,656.0,633.05,639.52,392500
2018-01-30,639.52,643.01,625.06,631.83,219150
2018-01-31,631.83,633.58,610.05,615.21,401650
2018-02-01,614.95,640.99,613.0,635.04,411250
2018-02-02,632.0,645.0,629.0,632.76,708500
2018-02-06,628.5,628.5,601.13,616.45,266850
2018-02-07,622.87,635.0,622.87,629.82,364750
2018-02-08,630.12,638.0,618.0,619.98,222050
2018-02-09,616.02,618.88,608.01,611.01,707500
2018-02-12,611.5,618.5,605.0,608.31,251400
2018-02-13,614.6,614.6,597.01,601.46,217550
2018-02-14,603.0,603.0,585.0,586.94,322700
2018-02-15,587.2,598.0,570.1,573.64,263500
2018-02-16,574.0,590.0,574.0,586.02,100350
2018-02-19,586.02,601.0,586.02,597.39,195650
2018-02-20,604.88,606.12,592.0,601.29,303250
2018-02-21,610.0,612.5,586.5,592.38,182750
2018-02-22,592.0,610.0,580.0,603.15,420200
2018-02-23,604.0,612.5,598.0,600.65,339050
2018-02-26,608.94,608.94,582.5,590.26,331800
2018-02-27,591.0,596.0,584.0,589.15,335550
2018-02-28,591.0,603.0,589.99,600.75,375350
2018-03-01,600.0,630.78,596.0,630.78,574450
2018-03-02,639.0,648.85,632.01,643.99,297300
2018-03-05,648.0,655.0,640.0,652.43,384900
2018-03-06,654.99,671.0,646.0,648.63,375050
2018-03-07,646.0,649.0,637.05,638.64,288750
2018-03-08,631.08,642.0,628.01,629.91,255800
2018-03-09,633.94,636.88,627.05,633.26,141750
2018-03-12,635.0,653.0,634.0,649.39,342750
2018-03-13,650.0,654.0,643.0,649.07,256150
2018-03-14,644.5,645.0,638.0,639.0,125350
2018-03-15,641.0,641.0,633.0,634.44,67100
