Date,Open,High,Low,Close,Volume
2018-01-01,95.05,96.4,93.62,95.85,750800
2018-01-02,95.3,96.9,94.01,94.54,1954500
2018-01-03,94.57,99.26,94.57,96.97,6727300
2018-01-04,96.27,96.95,94.3,94.92,1924100
2018-01-05,94.9,99.66,94.71,99.66,4318600
2018-01-08,104.64,104.64,104.64,104.64,64500
2018-01-09,109.87,109.87,109.87,109.87,225200
2018-01-10,110.0,115.36,109.0,115.02,8301700
2018-01-11,115.5,119.58,114.3,117.81,4704700
2018-01-12,117.55,120.28,116.01,118.25,4302000
2018-01-15,118.0,119.34,116.25,118.58,3266200
2018-01-16,118.58,121.49,116.95,117.5,2502000
2018-01-17,116.65,119.9,116.5,119.06,2955300
2018-01-18,121.0,122.08,118.11,119.74,2427700
2018-01-19,120.0,124.0,120.0,123.26,5339000
2018-01-22,123.2,125.5,123.0,124.05,2985700
2018-01-23,124.65,124.65,121.0,121.83,3040800
2018-01-24,122.39,124.7,118.01,119.67,6330500
2018-01-25,120.25,121.5,118.0,120.68,1957400
2018-01-26,120.89,121.95,119.6,120.32,1720600
2018-01-29,120.35,120.99,118.5,119.16,1034300
2018-01-30,119.98,120.5,119.0,119.35,481900
2018-01-31,119.95,120.45,118.05,118.59,594700
2018-02-01,118.1,120.0,118.02,118.7,625300
2018-02-02,118.52,121.65,118.51,120.69,2934000
2018-02-06,119.0,119.25,114.66,118.36,1391500
2018-02-07,119.56,121.25,118.5,119.73,3184000
2018-02-08,119.81,122.49,119.81,121.59,3638100
2018-02-09,120.1,124.48,119.5,123.65,6051700
2018-02-12,123.7,124.25,119.91,120.43,1956700
2018-02-13,121.0,121.49,119.61,120.05,931000
2018-02-14,120.0,120.0,116.17,116.74,1422200
2018-02-15,116.75,118.0,111.6,113.56,2254200
2018-02-16,116.0,117.0,114.15,116.61,952100
2018-02-19,117.0,118.1,115.0,115.28,426700
2018-02-20,114.5,115.2,110.25,113.95,2266100
2018-02-21,116.89,116.89,111.8,112.77,1637200
2018-02-22,110.51,115.7,109.01,115.25,2068400
2018-02-23,116.5,117.48,114.0,115.57,2293900
2018-02-26,116.36,117.0,112.13,113.33,1603200
2018-02-27,113.4,114.4,111.51,112.11,1238400
2018-02-28,112.39,115.8,111.5,115.09,1414000
2018-03-01,114.99,118.45,114.5,117.92,1743000
2018-03-02,118.0,118.93,116.7,116.92,2577600
2018-03-05,117.79,119.0,116.06,118.17,1942400
2018-03-06,119.0,120.39,117.3,117.87,3407200
