Ticker,Target,Model,Std_1d,Std_60d,Widens
BAHL,Open,Linear Regression,1.24,15.21,True
BAHL,Open,Random Forest,1.2,17.92,True
BAHL,Open,XGBoost,1.2,16.1,True
BAHL,Open,LSTM,1.25,16.71,True
BAHL,Open,GRU,1.27,15.85,True
BAHL,Close,Linear Regression,2.28,15.26,True
BAHL,Close,Random Forest,2.23,17.49,True
BAHL,Close,XGBoost,2.23,15.94,True
BAHL,Close,LSTM,2.36,15.98,True
BAHL,Close,GRU,2.37,16.01,True
COLG,Open,Linear Regression,10.85,140.82,True
COLG,Open,Random Forest,11.04,122.44,True
COLG,Open,XGBoost,11.0,165.58,True
COLG,Open,LSTM,10.47,165.06,True
COLG,Open,GRU,11.92,164.04,True
COLG,Close,Linear Regression,18.68,141.91,True
COLG,Close,Random Forest,18.28,133.39,True
COLG,Close,XGBoost,18.52,163.23,True
COLG,Close,LSTM,18.17,155.02,True
COLG,Close,GRU,18.88,162.95,True
DGKC,Open,Linear Regression,0.6,14.69,True
DGKC,Open,Random Forest,0.58,18.84,True
DGKC,Open,XGBoost,0.58,16.6,True
DGKC,Open,LSTM,0.62,16.49,True
DGKC,Open,GRU,0.64,14.5,True
DGKC,Close,Linear Regression,2.15,14.7,True
DGKC,Close,Random Forest,2.15,18.66,True
DGKC,Close,XGBoost,2.17,17.05,True
DGKC,Close,LSTM,2.19,18.88,True
DGKC,Close,GRU,2.16,14.41,True
EFERT,Open,Linear Regression,1.18,13.9,True
EFERT,Open,Random Forest,1.15,17.27,True
EFERT,Open,XGBoost,1.16,14.76,True
EFERT,Open,LSTM,1.22,16.59,True
EFERT,Open,GRU,1.3,12.95,True
EFERT,Close,Linear Regression,3.14,13.9,True
EFERT,Close,Random Forest,3.06,15.74,True
EFERT,Close,XGBoost,3.14,13.51,True
EFERT,Close,LSTM,3.13,16.28,True
EFERT,Close,GRU,3.16,12.85,True
ENGROH,Open,Linear Regression,2.36,40.31,True
ENGROH,Open,Random Forest,2.16,39.75,True
ENGROH,Open,XGBoost,2.21,35.96,True
ENGROH,Open,LSTM,2.82,43.76,True
ENGROH,Open,GRU,2.96,40.78,True
ENGROH,Close,Linear Regression,3.89,40.25,True
ENGROH,Close,Random Forest,4.05,38.93,True
ENGROH,Close,XGBoost,4.23,35.03,True
ENGROH,Close,LSTM,4.21,45.96,True
ENGROH,Close,GRU,4.21,40.86,True
FFC,Open,Linear Regression,2.44,47.41,True
FFC,Open,Random Forest,2.48,47.87,True
FFC,Open,XGBoost,2.38,48.76,True
FFC,Open,LSTM,2.49,46.78,True
FFC,Open,GRU,2.43,47.45,True
FFC,Close,Linear Regression,6.15,47.61,True
FFC,Close,Random Forest,6.16,48.77,True
FFC,Close,XGBoost,6.31,50.52,True
FFC,Close,LSTM,6.48,41.75,True
FFC,Close,GRU,6.49,47.47,True
HBL,Open,Linear Regression,0.95,22.7,True
HBL,Open,Random Forest,0.9,16.73,True
HBL,Open,XGBoost,0.91,13.88,True
HBL,Open,LSTM,1.0,17.99,True
HBL,Open,GRU,1.12,22.13,True
HBL,Close,Linear Regression,2.8,22.8,True
HBL,Close,Random Forest,2.8,16.28,True
