Model,Target,Horizon,Epoch,Train_Loss,Val_Loss
LSTM,Open,1,1,0.0009711565217003226,0.00030778898508287966
LSTM,Open,1,2,0.00022975934552960098,0.00027062473236583173
LSTM,Open,1,3,0.00022704001457896084,0.00023819900525268167
LSTM,Open,1,4,0.00022516053286381066,0.00022663397248834372
LSTM,Open,1,5,0.00022458213788922876,0.00021234832820482552
LSTM,Open,1,6,0.00022394424013327807,0.00019682582933455706
LSTM,Open,1,7,0.00022407382493838668,0.00021320774976629764
LSTM,Open,1,8,0.0002218615118181333,0.00020844422397203743
LSTM,Open,1,9,0.00022082364012021571,0.00020012025197502226
LSTM,Open,1,10,0.00022143818205222487,0.00017925903375726193
LSTM,Open,1,11,0.00022087407705839723,0.0001628648315090686
LSTM,Open,1,12,0.0002205564669566229,0.00016744565800763667
LSTM,Open,1,13,0.00021880447457078844,0.00016758266428951174
LSTM,Open,1,14,0.00021857443789485842,0.00017736191512085497
LSTM,Open,1,15,0.00021763090626336634,0.00017609579663258046
LSTM,Open,1,16,0.00021896966791246086,0.00016117404447868466
LSTM,Open,1,17,0.00021613299031741917,0.00014995010860729963
LSTM,Open,1,18,0.00021462858421728015,0.0001645800075493753
LSTM,Open,1,19,0.00021337831276468933,0.00015655095921829343
LSTM,Open,1,20,0.00021085947810206562,0.00015161381452344358
LSTM,Open,1,21,0.00021046794427093118,0.0001494871248723939
LSTM,Open,1,22,0.00020804419182240963,0.00015936815179884434
LSTM,Open,1,23,0.00020736242004204541,0.00015222275396808982
LSTM,Open,1,24,0.00020696896535810083,0.00015276685007847846
LSTM,Open,1,25,0.0002050650946330279,0.00016097795742098242
LSTM,Open,1,26,0.00020349891565274447,0.0001630374026717618
LSTM,Open,1,27,0.00020299541938584298,0.00015008707123342901
LSTM,Open,1,28,0.00020148900512140244,0.00015221444482449442
LSTM,Open,1,29,0.00019950620480813086,0.00015277141937986016
LSTM,Open,1,30,0.0001987693103728816,0.00015600257029291242
LSTM,Open,1,31,0.00019692647038027644,0.000151100117363967
GRU,Open,1,1,0.0015987885321367098,0.0008266568765975535
GRU,Open,1,2,0.00037454062010432957,0.0005277364980429411
GRU,Open,1,3,0.0002877573560487908,0.0004530359001364559
GRU,Open,1,4,0.000257110440799988,0.00034495332511141896
GRU,Open,1,5,0.00024118012294951165,0.0003016993578057736
GRU,Open,1,6,0.00023161262195202332,0.0002635755517985672
GRU,Open,1,7,0.00022520328317138585,0.0002377854980295524
GRU,Open,1,8,0.0002228783577900481,0.00023045105626806617
GRU,Open,1,9,0.00022048083964454278,0.0002066902379738167
GRU,Open,1,10,0.0002186883730101554,0.00020258607401046902
GRU,Open,1,11,0.00021753656343475588,0.0001906790566863492
GRU,Open,1,12,0.00021611615185751772,0.00019620450621005148
GRU,Open,1,13,0.00021449267618651422,0.0001767333160387352
GRU,Open,1,14,0.00021085350077689762,0.00017858784121926874
GRU,Open,1,15,0.0002129778393197718,0.0001898338960018009
GRU,Open,1,16,0.0002089832103404556,0.00019152827735524625
GRU,Open,1,17,0.00020872790750170773,0.00018587691010907292
GRU,Open,1,18,0.00020857795270008402,0.0001821851619752124
GRU,Open,1,19,0.00020527732749810168,0.00018453827942721546
GRU,Open,1,20,0.00020290447534588134,0.0001846885570557788
GRU,Open,1,21,0.00020104995697200334,0.0001809904060792178
GRU,Open,1,22,0.0002004232633180456,0.0001963325630640611
GRU,Open,1,23,0.0001987948538534991,0.00018493297102395445
LSTM,Close,1,1,0.001314281253144145,0.0005457276711240411
LSTM,Close,1,2,0.0005420887027867138,0.0005414189072325826
LSTM,Close,1,3,0.0005363365053199232,0.0005411211168393493
LSTM,Close,1,4,0.0005354903405532241,0.0005485430592671037
LSTM,Close,1,5,0.0005342585500329733,0.0005383706884458661
LSTM,Close,1,6,0.0005347863188944757,0.0005392582388594747
LSTM,Close,1,7,0.0005339398048818111,0.0005444407579489052
LSTM,Close,1,8,0.000534996681381017,0.0005376965855248272
LSTM,Close,1,9,0.0005344922537915409,0.000543542264495045
LSTM,Close,1,10,0.0005336796166375279,0.0005390134174376726
LSTM,Close,1,11,0.0005346805555745959,0.0005396966589614749
LSTM,Close,1,12,0.0005330356652848423,0.0005415425403043628
LSTM,Close,1,13,0.0005334639572538435,0.0005435048951767385
LSTM,Close,1,14,0.0005327027174644172,0.0005399588262662292
LSTM,Close,1,15,0.0005334221059456468,0.0005414438783191144
LSTM,Close,1,16,0.0005317394970916212,0.000539490720257163
LSTM,Close,1,17,0.0005309177213348448,0.0005436502979137003
LSTM,Close,1,18,0.0005303809302859008,0.0005573845701292157
GRU,Close,1,1,0.001922160685876254,0.001311523374170065
GRU,Close,1,2,0.000694531510553402,0.000949750654399395
GRU,Close,1,3,0.0005942947871672151,0.0008022443507798016
GRU,Close,1,4,0.000566141245709645,0.0007579332450404763
GRU,Close,1,5,0.0005446913557253701,0.0007628583698533475
GRU,Close,1,6,0.000530665323022233,0.0007080957875587046
GRU,Close,1,7,0.0005251660363699256,0.0006475641275756061
GRU,Close,1,8,0.0005184754900259,0.0006483668112196028
GRU,Close,1,9,0.0005162365606002856,0.0006650294526480138
GRU,Close,1,10,0.0005107155259862731,0.0006652693264186382
GRU,Close,1,11,0.0005059838221148335,0.0006512192194350064
GRU,Close,1,12,0.0005074860689826613,0.0006866836338303983
GRU,Close,1,13,0.0005035123963681408,0.0006170804845169187
GRU,Close,1,14,0.0004981035658627142,0.0006121604237705469
GRU,Close,1,15,0.0004969858487242181,0.0006106303771957755
GRU,Close,1,16,0.0004953623276660835,0.0006277523934841156
GRU,Close,1,17,0.0004904842135487567,0.0006401384016498923
GRU,Close,1,18,0.0004850172877377184,0.0006683285464532673
GRU,Close,1,19,0.00047826817564047575,0.0006659133941866457
GRU,Close,1,20,0.000473228793248272,0.0006408374174498022
GRU,Close,1,21,0.00046836307637440616,0.0006550750695168972
GRU,Close,1,22,0.00046152285504397087,0.0006591086275875568
GRU,Close,1,23,0.00046019967780553967,0.0006827299948781729
GRU,Close,1,24,0.0004570926902893335,0.0006950826500542462
GRU,Close,1,25,0.0004464564494217419,0.0007049062405712903
LSTM,Open,5,1,0.0037929427344352007,0.002872820245102048
LSTM,Open,5,2,0.002847768599167466,0.0030924552120268345
LSTM,Open,5,3,0.0027707768604159355,0.00323916575871408
LSTM,Open,5,4,0.002702354686334729,0.0029533542692661285
LSTM,Open,5,5,0.002642932115122676,0.0032248336356133223
