Model,Target,Horizon,Epoch,Train_Loss,Val_Loss
LSTM,Open,5,6,0.0025775821413844824,0.0029622134752571583
LSTM,Open,5,7,0.0025069608818739653,0.0032804140355437994
LSTM,Open,5,8,0.0024545236956328154,0.0030804798007011414
LSTM,Open,5,9,0.0023983852006495,0.003289968939498067
LSTM,Open,5,10,0.0023360587656497955,0.003221450839191675
LSTM,Open,5,11,0.002212295774370432,0.0031980504281818867
GRU,Open,5,1,0.004338010800780938,0.003733490128070116
GRU,Open,5,2,0.002941863121748135,0.003659847192466259
GRU,Open,5,3,0.002777112908468914,0.0033262395299971104
GRU,Open,5,4,0.0026806583562314513,0.003340379800647497
GRU,Open,5,5,0.0026157968244171987,0.0034833152312785387
GRU,Open,5,6,0.0025164964662838037,0.0033334363251924515
GRU,Open,5,7,0.002462913146974318,0.003523979801684618
GRU,Open,5,8,0.002398956071215276,0.003470936557278037
GRU,Open,5,9,0.0023342388658888547,0.003625266021117568
GRU,Open,5,10,0.002271971049375123,0.00362421409226954
GRU,Open,5,11,0.002202729489450097,0.0036327687557786703
GRU,Open,5,12,0.0021325038606816557,0.0036835374776273966
GRU,Open,5,13,0.002078478922746175,0.0034426890779286623
LSTM,Close,5,1,0.003797826822847128,0.003214481985196471
LSTM,Close,5,2,0.003036785637959838,0.0032951137982308865
LSTM,Close,5,3,0.0029202529694885015,0.0032882464583963156
LSTM,Close,5,4,0.0028433743864297867,0.0034467477817088366
LSTM,Close,5,5,0.0027429775800555944,0.00367747456766665
LSTM,Close,5,6,0.0026505151763558388,0.00339546543546021
LSTM,Close,5,7,0.0025269249454140663,0.003444801550358534
LSTM,Close,5,8,0.0024205325171351433,0.0037468825466930866
LSTM,Close,5,9,0.0023189664352685213,0.003793206764385104
LSTM,Close,5,10,0.0021530676167458296,0.0037549149710685015
LSTM,Close,5,11,0.0019937066826969385,0.003772008465602994
GRU,Close,5,1,0.004557647005317391,0.004124198574572802
GRU,Close,5,2,0.0031203844771365875,0.004077424295246601
GRU,Close,5,3,0.0029492696831154223,0.003833912778645754
GRU,Close,5,4,0.002839955780642608,0.0037804001476615667
GRU,Close,5,5,0.0027550545971524298,0.003958992660045624
GRU,Close,5,6,0.002638186581693413,0.0038664466701447964
GRU,Close,5,7,0.002571295992179403,0.0038540626410394907
GRU,Close,5,8,0.0024742405022248853,0.004025178495794535
GRU,Close,5,9,0.002381030869035435,0.004020313732326031
GRU,Close,5,10,0.00231107904725072,0.004174911882728338
GRU,Close,5,11,0.002215659531697579,0.004017576575279236
GRU,Close,5,12,0.002106782484402057,0.004303876776248217
GRU,Close,5,13,0.002049861158593264,0.004105749074369669
GRU,Close,5,14,0.001973737541179504,0.0042082699947059155
LSTM,Open,10,1,0.006976747885346413,0.006364286877214909
LSTM,Open,10,2,0.005703402683138847,0.007661382667720318
LSTM,Open,10,3,0.005270743276923895,0.006992600858211517
LSTM,Open,10,4,0.004869722295552492,0.007594596594572067
LSTM,Open,10,5,0.004497695714235306,0.008076074533164501
LSTM,Open,10,6,0.004090592265129089,0.008064983412623405
LSTM,Open,10,7,0.003793266136199236,0.007874037139117718
LSTM,Open,10,8,0.003451240947470069,0.008425166830420494
LSTM,Open,10,9,0.0031094688456505537,0.009218147024512291
LSTM,Open,10,10,0.0028397580608725548,0.008178522810339928
LSTM,Open,10,11,0.0026612821966409683,0.008465473540127277
GRU,Open,10,1,0.0075722302364190025,0.007345721125602722
GRU,Open,10,2,0.005894116323561753,0.007884811609983444
GRU,Open,10,3,0.005572652077848411,0.007323155645281076
GRU,Open,10,4,0.005246356343858643,0.007655641529709101
GRU,Open,10,5,0.004948767767040895,0.0078227948397398
GRU,Open,10,6,0.004662988433633869,0.008007565513253212
GRU,Open,10,7,0.004373632644631188,0.008153214119374752
GRU,Open,10,8,0.0040806368857758055,0.009360892698168755
GRU,Open,10,9,0.0038724921040159343,0.009101884439587593
GRU,Open,10,10,0.003645077714401204,0.009576912969350815
GRU,Open,10,11,0.003439654419808899,0.010024644434452057
GRU,Open,10,12,0.003270219036538949,0.010511782951653004
GRU,Open,10,13,0.0031255630003767638,0.010560688562691212
LSTM,Close,10,1,0.00693929847329855,0.00690460717305541
LSTM,Close,10,2,0.005911453161388636,0.007484637666493654
LSTM,Close,10,3,0.005440304521471262,0.008090781047940254
LSTM,Close,10,4,0.004902338609099388,0.00884178839623928
LSTM,Close,10,5,0.004296641796827316,0.009423486888408661
LSTM,Close,10,6,0.0038673514500260353,0.009095694869756699
LSTM,Close,10,7,0.0034385945182293653,0.009410872124135494
LSTM,Close,10,8,0.003051376435905695,0.009456805884838104
LSTM,Close,10,9,0.0026919739320874214,0.00982616562396288
LSTM,Close,10,10,0.002415666589513421,0.00958664994686842
LSTM,Close,10,11,0.0021487916819751263,0.009636182337999344
GRU,Close,10,1,0.007662946912813119,0.007681428920477629
GRU,Close,10,2,0.005975284750955388,0.008226439356803894
GRU,Close,10,3,0.005640118704554037,0.007881338708102703
GRU,Close,10,4,0.005253268063221473,0.008520119823515415
GRU,Close,10,5,0.004900557446463323,0.008498254232108593
GRU,Close,10,6,0.0045872750764771805,0.00854004081338644
GRU,Close,10,7,0.004263597134410409,0.008748925291001797
GRU,Close,10,8,0.003935457242328552,0.010234071873128414
GRU,Close,10,9,0.003693918461555282,0.00971390213817358
GRU,Close,10,10,0.00345987106870855,0.009587797336280346
GRU,Close,10,11,0.0032125937159586337,0.010146062821149826
LSTM,Open,20,1,0.012842657044529915,0.01498359814286232
LSTM,Open,20,2,0.01062458474189043,0.01609417051076889
LSTM,Open,20,3,0.008760625496506691,0.01634117215871811
LSTM,Open,20,4,0.0070806704461574554,0.018030377104878426
LSTM,Open,20,5,0.005775388330221176,0.01784275658428669
LSTM,Open,20,6,0.004795225802809,0.018181800842285156
LSTM,Open,20,7,0.004188464023172855,0.018496813252568245
LSTM,Open,20,8,0.003703638445585966,0.018899627029895782
LSTM,Open,20,9,0.0034041383769363165,0.01876181736588478
LSTM,Open,20,10,0.003107235999777913,0.01863183081150055
LSTM,Open,20,11,0.002908874535933137,0.019508585333824158
GRU,Open,20,1,0.013681745777020764,0.016144027933478355
GRU,Open,20,2,0.011514699731041052,0.01648605614900589
GRU,Open,20,3,0.010286873897285395,0.017708389088511467
GRU,Open,20,4,0.008909828322764206,0.019346321001648903
GRU,Open,20,5,0.007719315717297879,0.019576385617256165
GRU,Open,20,6,0.006731794182106722,0.021086057648062706
GRU,Open,20,7,0.0059814495701671685,0.021538084372878075
GRU,Open,20,8,0.00543090331013523,0.022413328289985657
GRU,Open,20,9,0.004945112718534085,0.021530896425247192
GRU,Open,20,10,0.00455300519898598,0.021746791899204254
GRU,Open,20,11,0.004269661758469523,0.021495524793863297
LSTM,Close,20,1,0.012593979015946388,0.015863720327615738
LSTM,Close,20,2,0.010219140909612179,0.01854437217116356
LSTM,Close,20,3,0.008488642983138561,0.018237942829728127
LSTM,Close,20,4,0.006806887686252594,0.018644634634256363
LSTM,Close,20,5,0.005469119176268578,0.019454164430499077
LSTM,Close,20,6,0.004425424616783857,0.01946389675140381
LSTM,Close,20,7,0.003754860255867243,0.02030845172703266
LSTM,Close,20,8,0.003232820425182581,0.021625859662890434
LSTM,Close,20,9,0.0029879454523324966,0.02076040953397751
LSTM,Close,20,10,0.002674229210242629,0.020285431295633316
LSTM,Close,20,11,0.0024001614656299353,0.021756233647465706
GRU,Close,20,1,0.013581937306194447,0.016660651192069054
GRU,Close,20,2,0.011376540866419255,0.017062293365597725
GRU,Close,20,3,0.010068724773211378,0.018088338896632195
GRU,Close,20,4,0.008568247935763808,0.020197082310914993
GRU,Close,20,5,0.007323592907279239,0.020231449976563454
GRU,Close,20,6,0.006322601457470501,0.021321717649698257
GRU,Close,20,7,0.0055570779907867345,0.02267802320420742
GRU,Close,20,8,0.004958925141035307,0.02243208885192871
GRU,Close,20,9,0.004501842402343764,0.02179694175720215
GRU,Close,20,10,0.004152970786772151,0.02271358296275139
GRU,Close,20,11,0.0038180034697449248,0.021929534152150154
LSTM,Open,60,1,0.03779463842511177,0.07470125705003738
LSTM,Open,60,2,0.02358221262693405,0.07872894406318665
LSTM,Open,60,3,0.017152050510048866,0.08389776200056076
LSTM,Open,60,4,0.013208544813096523,0.08692740648984909
LSTM,Open,60,5,0.010404187254607677,0.08611805737018585
LSTM,Open,60,6,0.008652705699205399,0.08658301085233688
LSTM,Open,60,7,0.007448697462677956,0.08326620608568192
LSTM,Open,60,8,0.006435958202928305,0.09119477868080139
LSTM,Open,60,9,0.005949936807155609,0.09076254814863205
LSTM,Open,60,10,0.005462374538183212,0.08805354684591293
LSTM,Open,60,11,0.0051411897875368595,0.08951961994171143
GRU,Open,60,1,0.04365814022028538,0.061355847865343094
GRU,Open,60,2,0.03447951422977627,0.0626114010810852
GRU,Open,60,3,0.0240700320762175,0.06726010143756866
GRU,Open,60,4,0.01794288624632196,0.07152710109949112
GRU,Open,60,5,0.014500128907374281,0.07355193793773651
GRU,Open,60,6,0.01238679610534362,0.07435927540063858
GRU,Open,60,7,0.01084345577956269,0.07277383655309677
GRU,Open,60,8,0.00964551844889851,0.0768246203660965
GRU,Open,60,9,0.008774713699445462,0.08478695154190063
GRU,Open,60,10,0.007874805716089273,0.0793159082531929
GRU,Open,60,11,0.007219496161501386,0.08275183290243149
LSTM,Close,60,1,0.036350928246974945,0.07017257064580917
LSTM,Close,60,2,0.022113345563411713,0.07571268081665039
LSTM,Close,60,3,0.015356563031673431,0.07731177657842636
LSTM,Close,60,4,0.011119325645267963,0.07809004187583923
LSTM,Close,60,5,0.008603287860751152,0.08250012248754501
LSTM,Close,60,6,0.006989504676312208,0.08272969722747803
LSTM,Close,60,7,0.00600659241899848,0.08778274804353714
LSTM,Close,60,8,0.005188798997551203,0.08532847464084625
LSTM,Close,60,9,0.004734428133815527,0.08581012487411499
LSTM,Close,60,10,0.004346119239926338,0.0897817462682724
LSTM,Close,60,11,0.004154856316745281,0.0859542265534401
GRU,Close,60,1,0.043159837019124354,0.060752272605895996
GRU,Close,60,2,0.03374238336479552,0.06260696053504944
GRU,Close,60,3,0.023430515788499303,0.06711595505475998
GRU,Close,60,4,0.017162896852262164,0.07323407381772995
GRU,Close,60,5,0.01382520281335578,0.0745118260383606
GRU,Close,60,6,0.011592278113410093,0.07585709542036057
GRU,Close,60,7,0.010191880699503013,0.07493250072002411
GRU,Close,60,8,0.0089832664592394,0.07763434946537018
GRU,Close,60,9,0.008031636880665523,0.08578857034444809
GRU,Close,60,10,0.007229105950674294,0.08297288417816162
GRU,Close,60,11,0.006653062406503201,0.08339759707450867
