Ticker,Model,Target,MAE,MAPE,Accuracy_%,Horizon,Directional_Accuracy_%,Improvement_over_Naive_%
ILP,GRU,Target_High,0.84,1.14,98.86,1,94.91,25.69
ILP,XGBoost,Target_High,0.85,1.15,98.85,1,94.31,22.36
ILP,Random Forest,Target_Low,0.84,1.19,98.81,1,89.02,15.53
ILP,GRU,Target_Low,0.83,1.19,98.81,1,88.89,16.06
ILP,LSTM,Target_Low,0.85,1.2,98.8,1,88.89,14.98
ILP,XGBoost,Target_Low,0.85,1.22,98.78,1,89.02,13.8
ILP,Linear Regression,Target_Low,0.87,1.23,98.77,1,89.02,12.78
INDU,Linear Regression,Target_High,17.6,1.0,99.0,1,96.34,9.0
INDU,LSTM,Target_High,18.06,1.0,99.0,1,95.83,8.79
INDU,Random Forest,Target_High,18.23,1.04,98.96,1,96.34,5.76
INDU,XGBoost,Target_High,18.31,1.04,98.96,1,96.34,5.3
INDU,GRU,Target_High,19.59,1.08,98.92,1,95.37,1.02
INDU,LSTM,Target_Low,17.78,1.04,98.96,1,90.74,23.96
INDU,Random Forest,Target_Low,17.89,1.07,98.93,1,89.84,24.35
INDU,Linear Regression,Target_Low,18.03,1.08,98.92,1,90.24,23.78
INDU,XGBoost,Target_Low,18.09,1.08,98.92,1,90.24,23.52
INDU,GRU,Target_Low,20.19,1.18,98.82,1,90.74,13.64
LUCK,Linear Regression,Target_High,8.72,0.93,99.07,1,97.56,24.09
LUCK,Random Forest,Target_High,9.08,0.97,99.03,1,97.56,20.9
LUCK,XGBoost,Target_High,9.19,0.98,99.02,1,97.56,19.94
LUCK,LSTM,Target_High,9.46,1.0,99.0,1,98.15,21.2
LUCK,GRU,Target_High,9.83,1.04,98.96,1,98.15,18.15
LUCK,Linear Regression,Target_Low,8.41,0.95,99.05,1,86.18,26.92
LUCK,Random Forest,Target_Low,8.43,0.95,99.05,1,86.18,26.78
LUCK,XGBoost,Target_Low,8.4,0.95,99.05,1,86.18,27.02
LUCK,GRU,Target_Low,8.63,0.95,99.05,1,86.11,28.29
LUCK,LSTM,Target_Low,8.79,0.98,99.02,1,86.11,26.93
MARI,XGBoost,Target_High,36.83,4.56,95.44,1,94.31,14.59
MARI,Random Forest,Target_High,37.13,4.57,95.43,1,94.31,13.89
MARI,LSTM,Target_High,39.5,5.15,94.85,1,95.37,9.34
MARI,GRU,Target_High,44.39,5.59,94.41,1,85.19,-1.9
MARI,Linear Regression,Target_High,46.03,6.47,93.53,1,94.31,-6.75
MARI,Random Forest,Target_Low,36.53,4.47,95.53,1,79.67,15.2
MARI,XGBoost,Target_Low,36.8,4.55,95.45,1,79.27,14.56
MARI,LSTM,Target_Low,36.07,4.93,95.07,1,78.24,15.85
MARI,GRU,Target_Low,41.19,5.39,94.61,1,72.69,3.92
MARI,Linear Regression,Target_Low,44.62,6.49,93.51,1,70.73,-3.58
MCB,Linear Regression,Target_High,2.29,0.97,99.03,1,96.34,19.39
MCB,Random Forest,Target_High,2.27,0.97,99.03,1,96.34,20.02
MCB,XGBoost,Target_High,2.27,0.97,99.03,1,96.34,20.02
MCB,LSTM,Target_High,2.66,1.11,98.89,1,95.83,12.94
MCB,GRU,Target_High,2.65,1.11,98.89,1,95.83,13.33
MCB,Random Forest,Target_Low,2.11,0.94,99.06,1,87.4,30.82
MCB,XGBoost,Target_Low,2.13,0.95,99.05,1,87.8,30.03
MCB,Linear Regression,Target_Low,2.16,0.96,99.04,1,87.4,29.26
MCB,LSTM,Target_Low,2.28,0.99,99.01,1,87.04,29.76
MCB,GRU,Target_Low,2.33,1.02,98.98,1,87.04,27.96
MEBL,Random Forest,Target_High,2.31,1.03,98.97,1,95.53,22.95
MEBL,XGBoost,Target_High,2.31,1.03,98.97,1,95.53,22.96
MEBL,Linear Regression,Target_High,2.33,1.04,98.96,1,95.53,22.1
MEBL,GRU,Target_High,2.56,1.1,98.9,1,95.83,19.88
MEBL,LSTM,Target_High,2.65,1.14,98.86,1,95.83,16.9
MEBL,Random Forest,Target_Low,2.23,1.04,98.96,1,83.33,20.68
MEBL,LSTM,Target_Low,2.36,1.06,98.94,1,83.33,18.67
MEBL,Linear Regression,Target_Low,2.3,1.07,98.93,1,83.33,18.32
MEBL,XGBoost,Target_Low,2.29,1.07,98.93,1,82.93,18.59
MEBL,GRU,Target_Low,2.39,1.07,98.93,1,83.33,17.54
MLCF,Linear Regression,Target_High,0.48,1.2,98.8,1,97.15,24.97
MLCF,Random Forest,Target_High,0.48,1.2,98.8,1,97.15,24.93
MLCF,XGBoost,Target_High,0.48,1.21,98.79,1,97.15,24.34
MLCF,LSTM,Target_High,0.5,1.25,98.75,1,98.15,23.37
MLCF,GRU,Target_High,0.51,1.28,98.72,1,98.15,21.48
MLCF,Random Forest,Target_Low,0.46,1.22,98.78,1,84.55,16.17
MLCF,XGBoost,Target_Low,0.47,1.23,98.77,1,84.55,15.36
MLCF,Linear Regression,Target_Low,0.47,1.24,98.76,1,84.55,14.49
MLCF,LSTM,Target_Low,0.47,1.26,98.74,1,83.33,13.69
MLCF,GRU,Target_Low,0.48,1.27,98.73,1,82.87,12.32
NESTLE,LSTM,Target_High,82.13,1.13,98.87,1,84.62,12.39
NESTLE,Linear Regression,Target_High,92.05,1.23,98.77,1,76.89,12.68
NESTLE,XGBoost,Target_High,92.13,1.24,98.76,1,75.47,12.6
NESTLE,Random Forest,Target_High,93.11,1.25,98.75,1,78.77,11.68
NESTLE,GRU,Target_High,90.27,1.25,98.75,1,80.22,3.7
NESTLE,LSTM,Target_Low,69.84,1.0,99.0,1,86.26,7.79
NESTLE,GRU,Target_Low,79.11,1.13,98.87,1,84.62,-4.45
NESTLE,XGBoost,Target_Low,83.0,1.16,98.84,1,82.55,7.82
NESTLE,Linear Regression,Target_Low,85.04,1.19,98.81,1,82.55,5.55
NESTLE,Random Forest,Target_Low,86.06,1.2,98.8,1,83.02,4.42
NETSOL,Random Forest,Target_High,1.97,1.48,98.52,1,98.78,25.79
NETSOL,Linear Regression,Target_High,2.01,1.51,98.49,1,98.78,24.34
NETSOL,XGBoost,Target_High,2.0,1.51,98.49,1,98.37,24.71
NETSOL,LSTM,Target_High,2.2,1.61,98.39,1,99.07,19.56
NETSOL,GRU,Target_High,2.26,1.66,98.34,1,99.07,17.14
NETSOL,Linear Regression,Target_Low,1.95,1.56,98.44,1,80.08,23.72
NETSOL,LSTM,Target_Low,2.02,1.56,98.44,1,78.7,22.41
NETSOL,Random Forest,Target_Low,1.98,1.58,98.42,1,80.08,22.66
NETSOL,GRU,Target_Low,2.05,1.59,98.41,1,78.7,21.27
NETSOL,XGBoost,Target_Low,2.03,1.62,98.38,1,79.67,20.73
OGDC,LSTM,Target_High,2.13,1.35,98.65,1,95.37,23.14
OGDC,GRU,Target_High,2.18,1.37,98.63,1,95.37,21.32
OGDC,Random Forest,Target_High,2.2,1.44,98.56,1,93.5,24.05
OGDC,XGBoost,Target_High,2.21,1.45,98.55,1,93.5,23.57
OGDC,Linear Regression,Target_High,2.23,1.46,98.54,1,93.5,22.95
OGDC,LSTM,Target_Low,1.61,1.08,98.92,1,83.8,27.59
OGDC,GRU,Target_Low,1.74,1.16,98.84,1,83.33,21.94
OGDC,Random Forest,Target_Low,1.76,1.2,98.8,1,83.33,26.33
OGDC,Linear Regression,Target_Low,1.79,1.23,98.77,1,83.33,24.84
OGDC,XGBoost,Target_Low,1.81,1.23,98.77,1,83.33,24.12
PAKT,LSTM,Target_High,21.45,1.97,98.03,1,84.82,17.39
PAKT,GRU,Target_High,22.19,2.04,97.96,1,84.82,14.53
PAKT,Random Forest,Target_High,22.64,2.1,97.9,1,80.54,14.68
PAKT,Linear Regression,Target_High,22.79,2.11,97.89,1,80.09,14.1
PAKT,XGBoost,Target_High,22.8,2.11,97.89,1,79.64,14.09
PAKT,LSTM,Target_Low,21.19,2.1,97.9,1,85.34,23.55
PAKT,GRU,Target_Low,21.98,2.17,97.83,1,85.34,20.7
PAKT,Random Forest,Target_Low,23.17,2.28,97.72,1,83.71,19.44
PAKT,XGBoost,Target_Low,23.43,2.3,97.7,1,83.71,18.52
PAKT,Linear Regression,Target_Low,23.47,2.31,97.69,1,83.71,18.4
PPL,GRU,Target_High,1.8,1.31,98.69,1,97.22,22.5
PPL,LSTM,Target_High,1.81,1.33,98.67,1,97.22,22.05
PPL,XGBoost,Target_High,1.84,1.36,98.64,1,95.12,23.27
PPL,Random Forest,Target_High,1.89,1.4,98.6,1,95.12,21.23
PPL,Linear Regression,Target_High,1.9,1.42,98.58,1,95.12,20.53
PPL,LSTM,Target_Low,1.47,1.12,98.88,1,81.48,23.94
PPL,GRU,Target_Low,1.56,1.2,98.8,1,81.48,18.79
PPL,Random Forest,Target_Low,1.63,1.27,98.73,1,82.52,22.54
PPL,Linear Regression,Target_Low,1.64,1.29,98.71,1,82.11,21.81
PPL,XGBoost,Target_Low,1.66,1.29,98.71,1,82.52,21.22
PSO,Linear Regression,Target_High,2.91,1.3,98.7,1,95.12,21.87
PSO,Random Forest,Target_High,2.96,1.32,98.68,1,95.12,20.53
PSO,XGBoost,Target_High,2.96,1.32,98.68,1,95.12,20.51
PSO,LSTM,Target_High,3.14,1.36,98.64,1,96.76,17.28
PSO,GRU,Target_High,3.23,1.38,98.62,1,96.76,14.85
PSO,GRU,Target_Low,2.38,1.14,98.86,1,81.02,33.45
PSO,LSTM,Target_Low,2.43,1.16,98.84,1,81.48,32.01
PSO,Linear Regression,Target_Low,2.55,1.26,98.74,1,82.11,29.71
PSO,Random Forest,Target_Low,2.61,1.27,98.73,1,82.11,28.05
PSO,XGBoost,Target_Low,2.6,1.28,98.72,1,82.11,28.27
SYS,XGBoost,Target_High,5.17,1.08,98.92,1,95.53,14.44
SYS,Random Forest,Target_High,5.19,1.09,98.91,1,95.53,14.07
SYS,Linear Regression,Target_High,5.29,1.12,98.88,1,95.53,12.32
SYS,LSTM,Target_High,5.76,1.2,98.8,1,95.37,9.85
SYS,GRU,Target_High,5.99,1.25,98.75,1,95.37,6.25
SYS,Linear Regression,Target_Low,4.85,1.08,98.92,1,84.15,23.27
SYS,Random Forest,Target_Low,4.82,1.08,98.92,1,84.15,23.65
SYS,XGBoost,Target_Low,4.82,1.08,98.92,1,83.74,23.76
SYS,LSTM,Target_Low,4.95,1.1,98.9,1,84.26,25.15
SYS,GRU,Target_Low,4.97,1.1,98.9,1,84.26,24.88
TRG,Random Forest,Target_High,1.0,1.56,98.44,1,95.53,26.83
TRG,XGBoost,Target_High,1.01,1.57,98.43,1,95.12,26.2
TRG,Linear Regression,Target_High,1.01,1.58,98.42,1,95.53,26.0
TRG,LSTM,Target_High,1.04,1.66,98.34,1,95.37,22.64
TRG,GRU,Target_High,1.04,1.66,98.34,1,95.37,22.56
TRG,Linear Regression,Target_Low,0.93,1.54,98.46,1,85.37,21.35
TRG,Random Forest,Target_Low,0.93,1.54,98.46,1,84.96,21.4
TRG,LSTM,Target_Low,0.91,1.54,98.46,1,84.26,18.19
TRG,XGBoost,Target_Low,0.94,1.56,98.44,1,85.77,20.71
TRG,GRU,Target_Low,0.91,1.56,98.44,1,83.8,17.58
UBL,Random Forest,Target_High,2.86,1.07,98.93,1,95.53,17.0
UBL,Linear Regression,Target_High,2.91,1.09,98.91,1,95.53,15.48
UBL,XGBoost,Target_High,2.91,1.09,98.91,1,95.53,15.46
UBL,GRU,Target_High,3.29,1.2,98.8,1,95.83,12.29
UBL,LSTM,Target_High,3.4,1.23,98.77,1,95.83,9.42
UBL,Random Forest,Target_Low,2.3,0.9,99.1,1,88.62,26.29
UBL,Linear Regression,Target_Low,2.4,0.93,99.07,1,88.62,23.02
UBL,XGBoost,Target_Low,2.39,0.94,99.06,1,88.62,23.38
UBL,LSTM,Target_Low,2.51,0.95,99.05,1,88.43,25.17
UBL,GRU,Target_Low,2.56,0.97,99.03,1,88.43,23.77
UNITY,Linear Regression,Target_High,0.37,1.34,98.66,1,97.56,18.93
UNITY,XGBoost,Target_High,0.38,1.35,98.65,1,97.56,17.96
UNITY,Random Forest,Target_High,0.38,1.36,98.64,1,94.72,18.01
UNITY,LSTM,Target_High,0.4,1.38,98.62,1,98.15,12.95
UNITY,GRU,Target_High,0.41,1.42,98.58,1,98.15,10.38
UNITY,LSTM,Target_Low,0.3,1.11,98.89,1,88.43,34.31
UNITY,GRU,Target_Low,0.32,1.19,98.81,1,87.96,28.79
UNITY,Linear Regression,Target_Low,0.31,1.2,98.8,1,89.02,33.86
UNITY,XGBoost,Target_Low,0.32,1.25,98.75,1,89.02,30.97
UNITY,Random Forest,Target_Low,0.33,1.26,98.74,1,88.62,29.87
BAHL,Random Forest,Target_High,3.73,3.45,96.55,5,68.29,2.89
BAHL,XGBoost,Target_High,3.77,3.47,96.53,5,70.73,1.82
BAHL,Linear Regression,Target_High,3.77,3.5,96.5,5,67.89,1.77
BAHL,LSTM,Target_High,4.1,3.72,96.28,5,68.06,-0.55
BAHL,GRU,Target_High,4.62,4.18,95.82,5,67.59,-13.28
BAHL,Linear Regression,Target_Low,3.36,3.25,96.75,5,65.45,8.64
BAHL,XGBoost,Target_Low,3.39,3.28,96.72,5,57.32,7.99
BAHL,Random Forest,Target_Low,3.38,3.29,96.71,5,62.2,8.13
BAHL,LSTM,Target_Low,3.58,3.39,96.61,5,60.65,8.25
BAHL,GRU,Target_Low,3.98,3.75,96.25,5,52.78,-2.09
COLG,Linear Regression,Target_High,27.02,2.01,97.99,5,56.1,6.01
COLG,XGBoost,Target_High,28.88,2.12,97.88,5,54.07,-0.47
COLG,Random Forest,Target_High,30.06,2.22,97.78,5,56.91,-4.57
COLG,GRU,Target_High,29.75,2.24,97.76,5,62.04,-9.53
COLG,LSTM,Target_High,30.55,2.32,97.68,5,59.26,-12.49
COLG,LSTM,Target_Low,23.29,1.84,98.16,5,77.78,12.92
COLG,Linear Regression,Target_Low,25.44,1.97,98.03,5,80.08,12.63
COLG,GRU,Target_Low,26.31,2.07,97.93,5,61.57,1.6
COLG,Random Forest,Target_Low,27.57,2.11,97.89,5,73.98,5.33
COLG,XGBoost,Target_Low,28.05,2.16,97.84,5,75.2,3.66
DGKC,XGBoost,Target_High,3.68,4.33,95.67,5,64.23,2.46
DGKC,Linear Regression,Target_High,3.71,4.36,95.64,5,64.63,1.75
DGKC,Random Forest,Target_High,3.79,4.45,95.55,5,63.41,-0.44
DGKC,LSTM,Target_High,3.9,4.5,95.5,5,65.28,-2.79
DGKC,GRU,Target_High,4.02,4.68,95.32,5,61.11,-5.97
DGKC,Linear Regression,Target_Low,3.41,4.21,95.79,5,58.13,4.22
DGKC,XGBoost,Target_Low,3.44,4.25,95.75,5,60.57,3.4
DGKC,LSTM,Target_Low,3.53,4.26,95.74,5,53.24,-0.41
DGKC,Random Forest,Target_Low,3.46,4.27,95.73,5,59.76,2.75
DGKC,GRU,Target_Low,3.71,4.53,95.47,5,52.31,-5.51
EFERT,LSTM,Target_High,5.22,2.92,97.08,5,79.63,4.28
EFERT,Linear Regression,Target_High,5.13,2.99,97.01,5,79.67,4.16
EFERT,XGBoost,Target_High,5.43,3.16,96.84,5,75.2,-1.3
EFERT,Random Forest,Target_High,5.48,3.22,96.78,5,75.2,-2.37
EFERT,GRU,Target_High,5.82,3.28,96.72,5,79.17,-6.65
EFERT,LSTM,Target_Low,4.68,2.74,97.26,5,53.24,6.95
EFERT,Linear Regression,Target_Low,4.67,2.84,97.16,5,52.03,4.33
EFERT,GRU,Target_Low,5.06,2.95,97.05,5,45.83,-0.52
EFERT,XGBoost,Target_Low,5.06,3.09,96.91,5,50.0,-3.77
EFERT,Random Forest,Target_Low,5.23,3.24,96.76,5,51.22,-7.31
ENGROH,Linear Regression,Target_High,6.92,4.09,95.91,5,71.14,3.49
ENGROH,XGBoost,Target_High,7.22,4.3,95.7,5,66.26,-0.67
ENGROH,Random Forest,Target_High,7.33,4.34,95.66,5,67.89,-2.27
ENGROH,LSTM,Target_High,7.43,4.34,95.66,5,73.15,6.14
ENGROH,GRU,Target_High,7.54,4.43,95.57,5,74.07,4.73
ENGROH,Linear Regression,Target_Low,5.89,3.65,96.35,5,58.94,5.27
ENGROH,GRU,Target_Low,6.39,3.9,96.1,5,56.48,6.19
ENGROH,XGBoost,Target_Low,6.41,3.95,96.05,5,56.5,-3.12
ENGROH,LSTM,Target_Low,6.51,3.96,96.04,5,58.8,4.47
ENGROH,Random Forest,Target_Low,6.56,4.08,95.92,5,60.57,-5.51
FFC,Linear Regression,Target_High,9.26,4.21,95.79,5,74.8,6.86
FFC,Random Forest,Target_High,9.71,4.38,95.62,5,70.73,2.26
FFC,XGBoost,Target_High,9.94,4.47,95.53,5,66.67,-0.03
FFC,LSTM,Target_High,10.06,4.49,95.51,5,79.17,8.72
FFC,GRU,Target_High,10.27,4.63,95.37,5,77.78,6.85
