Ticker,Model,Horizon,MAE_Spread,N_Rows
MARI,GRU,1,31.33,216
MCB,GRU,1,3.36,216
MEBL,GRU,1,3.12,216
MLCF,GRU,1,0.72,216
NESTLE,GRU,1,103.76,182
NETSOL,GRU,1,2.8,216
OGDC,GRU,1,2.82,216
PAKT,GRU,1,27.93,191
PPL,GRU,1,2.21,216
PSO,GRU,1,3.58,216
SYS,GRU,1,6.91,216
TRG,GRU,1,1.29,216
UBL,GRU,1,3.55,216
UNITY,GRU,1,0.47,216
BAHL,Linear Regression,5,1.64,246
COLG,Linear Regression,5,12.7,246
DGKC,Linear Regression,5,1.61,246
EFERT,Linear Regression,5,2.32,246
ENGROH,Linear Regression,5,2.69,246
FFC,Linear Regression,5,3.39,246
HBL,Linear Regression,5,1.82,246
HUBC,Linear Regression,5,1.95,246
ILP,Linear Regression,5,1.05,246
INDU,Linear Regression,5,21.62,246
LUCK,Linear Regression,5,12.14,246
MARI,Linear Regression,5,38.11,246
MCB,Linear Regression,5,2.96,246
MEBL,Linear Regression,5,2.91,246
MLCF,Linear Regression,5,0.71,246
NESTLE,Linear Regression,5,102.02,212
NETSOL,Linear Regression,5,2.7,246
OGDC,Linear Regression,5,2.78,246
PAKT,Linear Regression,5,25.3,221
PPL,Linear Regression,5,2.27,246
PSO,Linear Regression,5,3.47,246
SYS,Linear Regression,5,6.35,246
TRG,Linear Regression,5,1.3,246
UBL,Linear Regression,5,3.21,246
UNITY,Linear Regression,5,0.46,246
BAHL,Random Forest,5,1.69,246
COLG,Random Forest,5,13.12,246
DGKC,Random Forest,5,1.61,246
EFERT,Random Forest,5,2.44,246
ENGROH,Random Forest,5,2.75,246
FFC,Random Forest,5,3.48,246
HBL,Random Forest,5,1.85,246
HUBC,Random Forest,5,2.02,246
ILP,Random Forest,5,1.11,246
INDU,Random Forest,5,23.11,246
LUCK,Random Forest,5,12.25,246
MARI,Random Forest,5,32.94,246
MCB,Random Forest,5,3.07,246
MEBL,Random Forest,5,3.16,246
MLCF,Random Forest,5,0.73,246
NESTLE,Random Forest,5,158.66,212
NETSOL,Random Forest,5,2.69,246
OGDC,Random Forest,5,3.12,246
PAKT,Random Forest,5,25.62,221
PPL,Random Forest,5,2.43,246
PSO,Random Forest,5,3.56,246
SYS,Random Forest,5,6.37,246
TRG,Random Forest,5,1.37,246
UBL,Random Forest,5,3.18,246
UNITY,Random Forest,5,0.52,246
BAHL,XGBoost,5,1.71,246
COLG,XGBoost,5,14.13,246
DGKC,XGBoost,5,1.67,246
EFERT,XGBoost,5,2.55,246
ENGROH,XGBoost,5,2.95,246
FFC,XGBoost,5,3.85,246
HBL,XGBoost,5,1.93,246
HUBC,XGBoost,5,2.07,246
ILP,XGBoost,5,1.15,246
INDU,XGBoost,5,24.54,246
LUCK,XGBoost,5,12.84,246
MARI,XGBoost,5,37.92,246
MCB,XGBoost,5,3.16,246
MEBL,XGBoost,5,3.2,246
MLCF,XGBoost,5,0.76,246
