Ticker,Model,Horizon,MAE_Spread,N_Rows
ABL,Linear Regression,1,1.54,241
ABOT,Linear Regression,1,14.88,244
AGP,Linear Regression,1,2.09,246
AHCL,Linear Regression,1,1.09,245
AICL,Linear Regression,1,0.63,245
AIRLINK,Linear Regression,1,2.52,246
AKBL,Linear Regression,1,0.55,246
APL,Linear Regression,1,5.91,246
ATLH,Linear Regression,1,9.11,238
ATRL,Linear Regression,1,7.73,246
BAFL,Linear Regression,1,1.05,246
BAHL,Linear Regression,1,1.66,246
BNWM,Linear Regression,1,0.74,222
BOP,Linear Regression,1,0.12,246
BWCL,Linear Regression,1,4.12,245
CHCC,Linear Regression,1,3.55,246
CNERGY,Linear Regression,1,0.11,246
COLG,Linear Regression,1,12.8,246
CPHL,Linear Regression,1,0.71,246
DGKC,Linear Regression,1,1.56,246
EFERT,Linear Regression,1,2.14,246
ENGROH,Linear Regression,1,2.55,246
FABL,Linear Regression,1,0.75,246
FATIMA,Linear Regression,1,0.81,246
FCCL,Linear Regression,1,0.48,246
FFC,Linear Regression,1,3.32,246
FFL,Linear Regression,1,0.19,246
GADT,Linear Regression,1,3.71,210
GAL,Linear Regression,1,6.0,246
GHGL,Linear Regression,1,0.41,246
GHNI,Linear Regression,1,8.44,246
GLAXO,Linear Regression,1,3.98,246
HALEON,Linear Regression,1,10.0,245
HBL,Linear Regression,1,1.78,246
HCAR,Linear Regression,1,6.16,246
HINOON,Linear Regression,1,11.27,246
HMB,Linear Regression,1,1.13,245
HUBC,Linear Regression,1,1.93,246
HUMNL,Linear Regression,1,0.27,246
IBFL,Linear Regression,1,6.37,175
ILP,Linear Regression,1,1.06,246
INDU,Linear Regression,1,21.74,246
INIL,Linear Regression,1,3.38,246
ISL,Linear Regression,1,1.45,246
JDWS,Linear Regression,1,14.55,211
JVDC,Linear Regression,1,0.83,222
KAPCO,Linear Regression,1,0.37,246
KEL,Linear Regression,1,0.12,246
KOHC,Linear Regression,1,5.72,246
KTML,Linear Regression,1,2.96,220
LCI,Linear Regression,1,15.81,245
LOTCHEM,Linear Regression,1,0.27,246
LUCK,Linear Regression,1,12.0,246
MARI,Linear Regression,1,31.14,246
MCB,Linear Regression,1,2.98,246
MEBL,Linear Regression,1,2.84,246
MEHT,Linear Regression,1,20.36,137
MLCF,Linear Regression,1,0.67,246
MTL,Linear Regression,1,7.25,246
MUREB,Linear Regression,1,7.76,246
NATF,Linear Regression,1,2.8,246
NBP,Linear Regression,1,0.95,246
NESTLE,Linear Regression,1,97.89,212
NETSOL,Linear Regression,1,2.62,246
NML,Linear Regression,1,1.17,246
OGDC,Linear Regression,1,2.7,246
PABC,Linear Regression,1,1.51,246
PAEL,Linear Regression,1,0.56,246
PAKT,Linear Regression,1,25.38,221
PGLC,Linear Regression,1,0.33,224
PIBTL,Linear Regression,1,0.15,246
PIOC,Linear Regression,1,3.34,246
PKGS,Linear Regression,1,8.32,245
POL,Linear Regression,1,5.17,246
POWER,Linear Regression,1,0.14,246
PPL,Linear Regression,1,2.22,246
PSEL,Linear Regression,1,32.92,200
PSO,Linear Regression,1,3.3,246
PSX,Linear Regression,1,0.3,246
PTC,Linear Regression,1,0.43,246
RMPL,Linear Regression,1,92.62,212
SAZEW,Linear Regression,1,17.02,246
SCBPL,Linear Regression,1,0.97,246
SEARL,Linear Regression,1,1.37,246
SHFA,Linear Regression,1,5.16,236
SNGP,Linear Regression,1,1.27,246
SRVI,Linear Regression,1,20.6,246
SSGC,Linear Regression,1,0.36,246
SSOM,Linear Regression,1,2.42,167
SYS,Linear Regression,1,6.31,246
TGL,Linear Regression,1,1.91,246
THALL,Linear Regression,1,10.28,239
TRG,Linear Regression,1,1.25,246
UBL,Linear Regression,1,3.2,246
UNITY,Linear Regression,1,0.46,246
UPFL,Linear Regression,1,318.96,207
YOUW,Linear Regression,1,0.13,246
ABL,Random Forest,1,1.55,241
ABOT,Random Forest,1,14.89,244
AGP,Random Forest,1,2.07,246
AHCL,Random Forest,1,1.11,245
AICL,Random Forest,1,0.64,245
AIRLINK,Random Forest,1,2.55,246
AKBL,Random Forest,1,0.55,246
APL,Random Forest,1,5.94,246
ATLH,Random Forest,1,9.36,238
ATRL,Random Forest,1,7.75,246
BAFL,Random Forest,1,1.06,246
BAHL,Random Forest,1,1.67,246
BNWM,Random Forest,1,0.79,222
BOP,Random Forest,1,0.12,246
BWCL,Random Forest,1,4.14,245
CHCC,Random Forest,1,3.49,246
CNERGY,Random Forest,1,0.11,246
COLG,Random Forest,1,12.79,246
CPHL,Random Forest,1,0.7,246
DGKC,Random Forest,1,1.58,246
EFERT,Random Forest,1,2.15,246
