Ticker,Model,Target,MAE,MAPE,Accuracy_%
MARI,Random Forest,Target_High,66.28,5.91,94.09
MARI,Linear Regression,Target_High,50.05,6.81,93.19
MARI,XGBoost,Target_High,207.28,13.66,86.34
MARI,LSTM,Target_High,153.63,26.23,73.77
MARI,Naive Baseline,Target_Low,43.08,4.91,95.09
MARI,Random Forest,Target_Low,56.81,5.85,94.15
MARI,Linear Regression,Target_Low,47.81,6.73,93.27
MARI,XGBoost,Target_Low,185.37,14.24,85.76
MARI,LSTM,Target_Low,217.96,35.08,64.92
MCB,Linear Regression,Target_High,2.35,1.0,99.0
MCB,Random Forest,Target_High,2.72,1.16,98.84
MCB,Naive Baseline,Target_High,2.84,1.21,98.79
MCB,XGBoost,Target_High,4.23,1.74,98.26
MCB,LSTM,Target_High,8.47,3.6,96.4
MCB,Linear Regression,Target_Low,2.3,1.04,98.96
MCB,Random Forest,Target_Low,2.49,1.11,98.89
MCB,Naive Baseline,Target_Low,3.05,1.35,98.65
MCB,XGBoost,Target_Low,4.33,1.85,98.15
MCB,LSTM,Target_Low,6.53,2.87,97.13
MEBL,Linear Regression,Target_High,2.38,1.06,98.94
MEBL,XGBoost,Target_High,2.87,1.26,98.74
MEBL,Random Forest,Target_High,2.9,1.28,98.72
MEBL,Naive Baseline,Target_High,2.99,1.33,98.67
MEBL,LSTM,Target_High,9.25,3.97,96.03
MEBL,Random Forest,Target_Low,2.33,1.08,98.92
MEBL,Linear Regression,Target_Low,2.4,1.13,98.87
MEBL,Naive Baseline,Target_Low,2.81,1.31,98.69
MEBL,XGBoost,Target_Low,3.32,1.51,98.49
MEBL,LSTM,Target_Low,6.9,3.11,96.89
MLCF,Random Forest,Target_High,0.51,1.29,98.71
MLCF,Naive Baseline,Target_High,0.64,1.61,98.39
MLCF,XGBoost,Target_High,0.71,1.8,98.2
MLCF,Linear Regression,Target_High,0.98,2.48,97.52
MLCF,LSTM,Target_High,7.91,19.02,80.98
MLCF,Random Forest,Target_Low,0.51,1.36,98.64
MLCF,Naive Baseline,Target_Low,0.55,1.44,98.56
MLCF,XGBoost,Target_Low,0.64,1.71,98.29
