Ticker,Target,Horizon,N_Rows,Naive_MAE,Best_Single_Model,Best_Single_MAE,Best_Single_Improvement_over_Naive_%,Ensemble_MAE,Ensemble_Beats_Single,Ensemble_Improvement_over_Naive_%,Ensemble_Directional_Accuracy_%,Std_Error,P10,P90
PPL,Open,1,216,0.82,LSTM,0.73,11.186172909251816,0.71,True,12.897416294343175,78.24,1.4203,-0.7018,1.1662
PSO,Open,1,216,1.31,LSTM,1.1,16.254291025161443,1.08,True,17.872531436686376,77.31,2.055,-1.1219,1.8995
SYS,Open,1,216,2.37,Linear Regression,2.1,11.397131194078524,2.11,False,11.072617594089907,71.3,3.3315,-2.9032,3.3268
TRG,Open,1,216,0.51,LSTM,0.45,12.977922862145698,0.44,True,13.752401042328145,75.46,0.8715,-0.4402,0.5969
UBL,Open,1,216,1.3,Random Forest,1.23,5.579401316890158,1.25,False,3.8857062897162806,68.06,2.1653,-1.5823,1.6411
UNITY,Open,1,216,0.18,Linear Regression,0.17,5.021610649862212,0.17,True,5.855785968250148,68.52,0.2375,-0.2047,0.2842
BAHL,Close,5,216,3.97,Linear Regression,4.03,-1.5256967950376579,4.06,False,-2.215538000172319,54.63,5.8359,-5.088,6.3966
COLG,Close,5,216,23.7,Random Forest,23.4,1.246592747260562,23.54,False,0.6620986567797784,58.33,35.3762,-27.7616,53.6261
DGKC,Close,5,216,3.74,XGBoost,3.73,0.2470737180983191,3.79,False,-1.2219605786618866,49.07,4.9889,-4.2264,7.0578
EFERT,Close,5,216,5.1,Linear Regression,5.12,-0.3887713196873097,5.2,False,-1.942844350967423,53.7,7.1007,-6.8211,8.4543
ENGROH,Close,5,216,7.27,GRU,7.1,2.3116684504240816,7.27,False,0.042190500398294195,56.02,10.4028,-6.6222,17.1662
FFC,Close,5,216,9.95,GRU,9.3,6.5201042430779586,9.61,False,3.3733333565491384,59.26,13.5483,-8.8591,19.5416
HBL,Close,5,216,6.09,XGBoost,5.99,1.6802255002624422,6.2,False,-1.8795557032138641,53.24,8.6981,-8.45,11.5325
HUBC,Close,5,216,4.84,Linear Regression,4.9,-1.396416513997343,5.03,False,-3.999243866717198,52.31,7.416,-7.5265,6.4026
ILP,Close,5,216,2.42,Linear Regression,2.46,-1.6819324453483675,2.63,False,-8.529240639584113,45.37,3.4722,-4.3586,4.2029
INDU,Close,5,216,31.12,LSTM,30.93,0.610147695556064,32.87,False,-5.615084604267378,50.0,47.4138,-33.0516,72.1048
LUCK,Close,5,216,31.08,XGBoost,30.73,1.1316891387108305,30.51,True,1.8275021425411355,57.41,42.4357,-35.7243,51.3377
MARI,Close,5,216,151.85,LSTM,154.95,-2.0419282145104516,164.48,False,-8.318205463676302,44.91,496.0724,-108.97,193.9154
MCB,Close,5,216,8.34,Random Forest,8.38,-0.498680870647033,8.34,True,0.02543719088668188,51.85,11.2763,-12.1277,13.15
MEBL,Close,5,216,8.36,Linear Regression,8.46,-1.2490521345700032,8.82,False,-5.557240108830949,39.81,11.4573,-11.5133,16.6598
MLCF,Close,5,216,1.52,GRU,1.52,-0.04915555103982788,1.54,False,-1.6611051499151608,51.39,2.0671,-2.2506,2.4251
NESTLE,Close,5,182,115.99,Linear Regression,124.73,-7.539196701715837,125.93,False,-8.566705354560844,53.3,173.1485,-173.8612,191.2751
NETSOL,Close,5,216,6.53,GRU,6.45,1.1593631398238409,6.4,True,1.943441942249632,56.02,8.6428,-7.398,12.1734
OGDC,Close,5,216,5.39,LSTM,5.24,2.6879144146320155,5.26,False,2.320408195080203,52.31,7.1937,-5.6489,9.6419
PAKT,Close,5,191,46.09,Linear Regression,45.55,1.1774525852337576,45.99,False,0.22410852448878169,52.88,61.3243,-52.1282,92.5819
PPL,Close,5,216,5.01,LSTM,4.83,3.6807682118830867,4.93,False,1.6227096983065594,51.39,6.9304,-4.8286,9.993
PSO,Close,5,216,10.01,LSTM,8.64,13.699113756057805,9.44,False,5.665742811556662,50.0,14.7214,-5.883,23.4747
SYS,Close,5,216,15.06,Random Forest,14.54,3.4677145613763294,14.55,False,3.414180462109123,56.48,20.7874,-20.8673,32.1844
TRG,Close,5,216,3.08,Linear Regression,3.1,-0.43531549196111624,3.08,True,0.23665981639479122,62.04,4.4012,-4.3979,4.5006
UBL,Close,5,216,8.64,Random Forest,8.41,2.7266002804227996,8.42,False,2.5535730996418415,61.11,11.393,-9.4057,17.0209
UNITY,Close,5,216,1.19,Linear Regression,1.19,-0.7391822170040865,1.3,False,-9.352046156814279,44.91,1.8311,-1.6366,2.5669
BAHL,Open,5,216,3.32,Random Forest,3.32,0.04724677200416344,3.29,True,0.7991861271237586,56.48,5.024,-4.45,5.5545
COLG,Open,5,216,21.77,Linear Regression,22.12,-1.6084411646394021,22.34,False,-2.6105009474392213,54.17,35.475,-30.4843,28.6475
DGKC,Open,5,216,3.33,Linear Regression,3.38,-1.6235156288562669,3.42,False,-2.822807896298721,46.76,4.4951,-3.7494,5.7965
EFERT,Open,5,216,4.67,Linear Regression,4.62,0.9201214933323064,4.69,False,-0.5821597656572551,60.19,6.6711,-5.7994,7.4924
ENGROH,Open,5,216,7.01,LSTM,6.9,1.6003542031078772,7.03,False,-0.15737070676441536,55.56,10.1612,-6.2199,17.836
FFC,Open,5,216,9.24,LSTM,8.66,6.294243968847764,8.7,False,5.856058065238928,66.67,13.1295,-7.3902,17.4745
HBL,Open,5,216,5.37,XGBoost,5.13,4.634436742162273,5.47,False,-1.784441886248568,46.76,7.8415,-7.4621,10.1489
HUBC,Open,5,216,4.41,Linear Regression,4.53,-2.8059327199062962,4.5,True,-1.9897419364431204,50.93,6.6773,-8.1405,6.2423
ILP,Open,5,216,2.19,Linear Regression,2.24,-2.1571740287021983,2.3,False,-5.006961913461878,50.93,3.2023,-3.71,3.9811
INDU,Open,5,216,34.08,LSTM,33.09,2.929876356292022,34.67,False,-1.7149850665820094,53.7,49.1839,-32.443,64.0546
LUCK,Open,5,216,28.75,XGBoost,28.35,1.3856914608632338,28.32,True,1.5017171305154398,54.17,40.2146,-32.4397,46.9505
MARI,Open,5,216,145.21,LSTM,148.3,-2.123947732167154,156.84,False,-8.010168164603915,50.46,495.3233,-81.635,183.6321
MCB,Open,5,216,7.32,LSTM,7.29,0.3946407456535967,7.29,True,0.4469665347130635,56.02,10.2428,-10.8845,11.5537
MEBL,Open,5,216,7.33,Linear Regression,7.38,-0.7040945860152737,7.71,False,-5.184299159636523,46.76,10.3723,-10.7494,13.8255
MLCF,Open,5,216,1.32,Linear Regression,1.33,-0.3273788004876398,1.35,False,-1.8123848978324186,49.07,1.843,-2.093,2.1404
NESTLE,Open,5,182,129.44,LSTM,133.18,-2.8855379771983527,135.75,False,-4.87409346578834,54.4,190.648,-164.4332,203.2065
NETSOL,Open,5,216,6.17,GRU,6.14,0.45908478383740114,6.05,True,1.9122879660527514,54.63,8.2946,-6.4112,11.9311
OGDC,Open,5,216,5.02,Linear Regression,4.98,0.8536908587213724,4.97,True,1.005232057453985,55.56,6.9766,-5.2418,9.2869
PAKT,Open,5,191,42.29,Linear Regression,42.39,-0.21466582530731027,43.31,False,-2.399534035121982,51.31,60.1994,-47.8386,79.9251
PPL,Open,5,216,4.55,Linear Regression,4.37,4.067138610977719,4.45,False,2.2339431500816143,51.39,6.5013,-4.1787,7.9197
PSO,Open,5,216,8.97,Linear Regression,8.11,9.604786926281777,8.36,False,6.83703023037435,54.63,13.3041,-5.8142,18.7967
SYS,Open,5,216,14.36,Random Forest,14.07,2.0121098611910284,14.12,False,1.6643753965216235,56.02,20.1773,-19.4422,32.3944
TRG,Open,5,216,2.8,LSTM,2.78,0.5649658867250978,2.78,False,0.4669306605976991,62.04,4.1432,-3.5773,4.8313
UBL,Open,5,216,7.9,Random Forest,7.64,3.2922987480497463,7.65,False,3.144672896144255,62.96,10.6234,-9.8454,13.3982
UNITY,Open,5,216,1.09,Linear Regression,1.09,-0.2970149747067546,1.16,False,-6.026482211186713,47.69,1.6532,-1.3695,2.1296
BAHL,Close,10,216,6.28,Linear Regression,6.48,-3.218172087298383,6.52,False,-3.8090089528606366,49.54,8.5468,-8.2377,9.6097
COLG,Close,10,216,36.79,Random Forest,33.41,9.17972233538057,34.19,False,7.0547571644307565,72.69,47.87,-37.9871,83.6935
DGKC,Close,10,216,5.03,Linear Regression,5.18,-3.007570006987472,5.28,False,-5.1383535590683245,51.85,6.94,-6.7859,8.7053
EFERT,Close,10,216,7.24,Linear Regression,7.06,2.4783636570838743,7.25,False,-0.20411647063952473,60.65,9.4366,-6.3787,17.1487
ENGROH,Close,10,216,10.88,Linear Regression,10.39,4.510792097558134,11.1,False,-2.024709788834038,58.8,14.7412,-6.8988,25.1377
FFC,Close,10,216,15.97,LSTM,14.69,7.960309215858504,15.43,False,3.370639982784808,52.78,18.1196,-7.2534,35.11
HBL,Close,10,216,9.49,XGBoost,9.29,2.1287517641142157,9.36,False,1.4388417696429674,53.7,12.3568,-12.1147,17.655
HUBC,Close,10,216,7.7,Linear Regression,8.05,-4.657355962920755,8.47,False,-10.105847892325453,34.72,11.4316,-17.6209,11.6733
ILP,Close,10,216,3.67,Linear Regression,3.88,-5.9083446883989765,4.14,False,-13.002695373499854,37.5,5.2293,-6.9693,5.8602
INDU,Close,10,216,44.39,Linear Regression,47.44,-6.862749631148227,49.77,False,-12.115106393190159,47.22,65.1008,-35.5391,108.3116
