Ticker,Target,Model,Std_1d,Std_60d,Widens
BAHL,High,Linear Regression,1.88,15.77,True
BAHL,High,Random Forest,1.85,18.01,True
BAHL,High,XGBoost,1.82,16.76,True
BAHL,High,LSTM,2.03,15.91,True
BAHL,High,GRU,2.1,15.68,True
BAHL,Low,Linear Regression,1.83,14.68,True
BAHL,Low,Random Forest,1.83,17.01,True
BAHL,Low,XGBoost,1.84,16.98,True
BAHL,Low,LSTM,1.86,19.6,True
BAHL,Low,GRU,1.92,14.47,True
COLG,High,Linear Regression,17.58,145.43,True
COLG,High,Random Forest,17.67,128.97,True
COLG,High,XGBoost,17.94,155.15,True
COLG,High,LSTM,19.1,145.69,True
COLG,High,GRU,19.62,161.19,True
COLG,Low,Linear Regression,18.83,138.64,True
COLG,Low,Random Forest,19.22,128.94,True
COLG,Low,XGBoost,18.87,145.71,True
COLG,Low,LSTM,16.99,118.8,True
COLG,Low,GRU,17.34,157.27,True
DGKC,High,Linear Regression,1.5,15.09,True
DGKC,High,Random Forest,1.52,19.34,True
DGKC,High,XGBoost,1.52,16.87,True
DGKC,High,LSTM,1.56,19.69,True
DGKC,High,GRU,1.56,13.41,True
DGKC,Low,Linear Regression,1.38,14.19,True
DGKC,Low,Random Forest,1.39,17.88,True
DGKC,Low,XGBoost,1.37,16.66,True
DGKC,Low,LSTM,1.42,21.74,True
DGKC,Low,GRU,1.52,12.76,True
EFERT,High,Linear Regression,2.7,14.37,True
EFERT,High,Random Forest,2.69,16.84,True
EFERT,High,XGBoost,2.68,14.77,True
EFERT,High,LSTM,2.75,14.81,True
EFERT,High,GRU,2.77,13.39,True
EFERT,Low,Linear Regression,2.27,13.35,True
EFERT,Low,Random Forest,2.25,16.72,True
EFERT,Low,XGBoost,2.28,12.41,True
EFERT,Low,LSTM,2.38,17.28,True
EFERT,Low,GRU,2.51,12.35,True
ENGROH,High,Linear Regression,3.43,42.05,True
ENGROH,High,Random Forest,3.41,41.52,True
ENGROH,High,XGBoost,3.42,41.88,True
ENGROH,High,LSTM,3.85,46.48,True
ENGROH,High,GRU,3.93,40.01,True
ENGROH,Low,Linear Regression,2.45,38.59,True
ENGROH,Low,Random Forest,2.5,37.31,True
ENGROH,Low,XGBoost,2.62,37.76,True
ENGROH,Low,LSTM,2.68,42.2,True
ENGROH,Low,GRU,2.76,36.34,True
FFC,High,Linear Regression,5.13,49.71,True
FFC,High,Random Forest,5.07,50.81,True
FFC,High,XGBoost,5.01,50.96,True
FFC,High,LSTM,5.57,41.89,True
FFC,High,GRU,5.68,48.49,True
FFC,Low,Linear Regression,3.81,45.52,True
FFC,Low,Random Forest,3.67,44.79,True
FFC,Low,XGBoost,3.7,46.23,True
FFC,Low,LSTM,4.06,38.23,True
FFC,Low,GRU,4.19,44.76,True
HBL,High,Linear Regression,2.41,23.48,True
HBL,High,Random Forest,2.41,16.58,True
HBL,High,XGBoost,2.38,13.76,True
HBL,High,LSTM,2.73,22.62,True
HBL,High,GRU,2.82,22.45,True
HBL,Low,Linear Regression,1.7,21.89,True
HBL,Low,Random Forest,1.7,16.46,True
HBL,Low,XGBoost,1.62,12.88,True
HBL,Low,LSTM,1.7,22.95,True
HBL,Low,GRU,1.77,20.85,True
HUBC,High,Linear Regression,2.33,30.59,True
HUBC,High,Random Forest,2.32,25.58,True
HUBC,High,XGBoost,2.29,21.78,True
HUBC,High,LSTM,2.49,37.46,True
HUBC,High,GRU,2.56,30.8,True
HUBC,Low,Linear Regression,2.29,30.31,True
HUBC,Low,Random Forest,2.29,27.1,True
HUBC,Low,XGBoost,2.31,22.78,True
HUBC,Low,LSTM,2.53,36.37,True
HUBC,Low,GRU,2.56,30.6,True
ILP,High,Linear Regression,1.27,9.58,True
ILP,High,Random Forest,1.25,14.15,True
ILP,High,XGBoost,1.25,11.86,True
ILP,High,LSTM,1.31,12.2,True
ILP,High,GRU,1.32,10.21,True
ILP,Low,Linear Regression,1.31,9.06,True
ILP,Low,Random Forest,1.3,14.13,True
ILP,Low,XGBoost,1.3,12.02,True
ILP,Low,LSTM,1.32,8.94,True
ILP,Low,GRU,1.33,9.8,True
INDU,High,Linear Regression,30.43,139.74,True
INDU,High,Random Forest,31.37,168.67,True
INDU,High,XGBoost,31.3,138.07,True
INDU,High,LSTM,31.68,118.02,True
INDU,High,GRU,32.47,128.99,True
INDU,Low,Linear Regression,29.41,131.3,True
INDU,Low,Random Forest,30.24,164.15,True
INDU,Low,XGBoost,30.13,134.68,True
INDU,Low,LSTM,30.82,96.73,True
INDU,Low,GRU,31.33,119.81,True
LUCK,High,Linear Regression,14.36,119.78,True
LUCK,High,Random Forest,14.84,127.09,True
