Model,Target,MAE,RMSE,MAPE,R2,Horizon,Directional_Accuracy_%,Improvement_over_Naive_%
Random Forest,Close,8.45,47.83,1.65,0.9988,1,52.75,-0.46
XGBoost,Close,8.51,47.36,1.68,0.9988,1,51.54,-1.18
Linear Regression,Close,8.69,47.61,1.71,0.9988,1,51.67,-3.32
LSTM,Close,8.34,48.72,1.71,0.9987,1,49.93,-4.04
GRU,Close,9.35,50.64,1.78,0.9986,1,50.81,-16.64
LSTM,Open,6.49,49.82,0.81,0.9986,1,68.36,0.69
Random Forest,Open,7.37,49.1,0.82,0.9987,1,65.67,-5.93
XGBoost,Open,7.68,49.96,0.82,0.9987,1,65.39,-10.39
Linear Regression,Open,7.31,49.96,0.84,0.9987,1,62.52,-5.07
GRU,Open,7.7,52.39,0.91,0.9985,1,61.51,-17.83
LSTM,Close,20.48,107.83,4.39,0.9935,5,52.57,-2.77
Random Forest,Close,21.53,104.19,4.42,0.9942,5,52.06,-6.06
XGBoost,Close,22.61,106.31,4.43,0.994,5,51.93,-11.38
Linear Regression,Close,22.23,106.33,4.62,0.994,5,52.36,-9.51
GRU,Close,25.59,114.43,4.73,0.9927,5,53.14,-28.42
Random Forest,Open,22.84,111.81,4.05,0.9933,5,53.18,-15.07
XGBoost,Open,23.5,111.13,4.06,0.9934,5,51.7,-18.39
LSTM,Open,19.61,107.06,4.06,0.9936,5,55.61,-0.46
Linear Regression,Open,21.37,105.9,4.2,0.994,5,53.14,-7.66
GRU,Open,23.18,114.05,4.37,0.9927,5,52.97,-18.75
LSTM,Close,30.9,150.34,6.78,0.9873,10,51.08,-3.29
XGBoost,Close,34.52,148.06,6.97,0.9882,10,49.24,-14.98
Linear Regression,Close,33.44,149.43,7.04,0.988,10,53.75,-11.39
Random Forest,Close,33.97,145.37,7.11,0.9886,10,50.37,-13.15
GRU,Close,39.18,165.2,7.14,0.9847,10,54.37,-30.97
LSTM,Open,34.09,155.28,6.57,0.9865,10,57.07,-14.36
XGBoost,Open,35.53,151.58,6.67,0.9876,10,50.02,-18.2
Linear Regression,Open,33.3,150.33,6.81,0.9878,10,54.56,-10.78
Random Forest,Open,34.76,150.74,6.84,0.9878,10,50.45,-15.64
GRU,Open,36.42,155.12,6.97,0.9865,10,53.49,-22.18
LSTM,Close,47.82,206.23,10.71,0.9759,20,52.39,-0.93
GRU,Close,60.75,226.41,10.76,0.971,20,53.45,-28.22
Linear Regression,Close,51.06,201.33,10.8,0.9779,20,53.59,-8.53
XGBoost,Close,52.41,199.25,11.01,0.9784,20,47.64,-11.4
Random Forest,Close,51.83,194.87,11.49,0.9793,20,47.36,-10.16
LSTM,Open,50.27,208.61,10.43,0.9754,20,53.7,-6.12
Linear Regression,Open,50.0,199.98,10.57,0.9782,20,54.1,-5.62
GRU,Open,64.52,239.98,10.6,0.9675,20,54.8,-36.21
XGBoost,Open,53.12,204.51,10.96,0.9772,20,46.58,-12.21
Random Forest,Open,52.86,201.85,11.4,0.9778,20,48.38,-11.66
Linear Regression,Close,93.93,295.13,19.87,0.9518,60,55.59,1.59
GRU,Close,112.47,361.68,20.9,0.9259,60,59.3,-16.62
XGBoost,Close,96.39,302.37,21.42,0.9494,60,48.42,-0.99
LSTM,Close,119.43,350.84,22.63,0.9302,60,51.3,-23.84
Random Forest,Close,103.8,310.89,23.48,0.9465,60,49.38,-8.75
Linear Regression,Open,92.44,292.67,19.75,0.9527,60,56.21,3.37
GRU,Open,113.13,364.73,20.94,0.9249,60,59.09,-17.26
XGBoost,Open,97.0,297.94,21.03,0.9509,60,49.37,-1.4
LSTM,Open,101.71,303.06,22.65,0.9481,60,50.46,-5.43
Random Forest,Open,105.98,317.12,23.36,0.9444,60,49.22,-10.78
