Model,Target,MAE,RMSE,MAPE,R2,Accuracy_%
Random Forest,High,8.58,50.74,1.37,0.9987,98.63
XGBoost,High,8.54,50.51,1.37,0.9987,98.63
Linear Regression,High,8.87,51.61,1.44,0.9986,98.56
LSTM,High,8.52,51.9,1.48,0.9985,98.52
LSTM,Low,7.4,47.81,1.31,0.9987,98.69
Random Forest,Low,8.12,47.79,1.32,0.9988,98.68
XGBoost,Low,8.05,47.63,1.33,0.9988,98.67
Linear Regression,Low,8.42,48.46,1.41,0.9987,98.59
