Ticker,Target,Horizon,Model,Feature_1,Direction_1,Feature_2,Direction_2,Feature_3,Direction_3
PGLC,Open,5,Random Forest,Month,up,Volume,down,ATR_Pct,down
POWER,Open,5,XGBoost,Return_10d,up,Rolling_Min_20,up,Close_to_SMA_200,up
PSX,Open,5,XGBoost,Volume,up,ATR_Pct,up,Return_10d,up
SNGP,Open,5,Random Forest,Month,up,Return_10d,up,Volume,up
SSGC,Open,5,XGBoost,Volume_SMA_20,down,Return_10d,up,Close_to_SMA_200,down
SSOM,Open,5,Random Forest,Volume,down,Close_to_SMA_50,down,Month,up
ABOT,Open,10,Random Forest,Rolling_Min_20,down,Close_to_SMA_200,down,Month,up
AKBL,Open,10,Random Forest,Rolling_Min_20,down,Month,up,Close_to_SMA_200,down
BWCL,Open,10,XGBoost,Rolling_Min_20,down,BB_Bandwidth,down,Close_to_SMA_200,down
CHCC,Open,10,XGBoost,Rolling_Min_20,down,Rolling_Max_20,up,Close_to_SMA_200,down
COLG,Open,10,Random Forest,Close_to_SMA_200,down,Rolling_Min_20,down,Month,up
GADT,Open,10,XGBoost,Rolling_Min_20,down,MACD_Hist_Pct,down,ATR_Pct,down
GAL,Open,10,Random Forest,Close_to_SMA_200,up,Close_to_SMA_50,up,Rolling_Min_20,down
HBL,Open,10,XGBoost,Rolling_Min_20,down,Close_to_SMA_50,up,ATR_Pct,up
HINOON,Open,10,Random Forest,Rolling_Min_20,down,Close_to_SMA_200,down,Month,up
HMB,Open,10,XGBoost,Close_to_SMA_200,down,BB_Bandwidth,down,Rolling_Min_20,down
KAPCO,Open,10,XGBoost,Close_to_SMA_200,down,ATR_Pct,up,BB_Bandwidth,down
MUREB,Open,10,XGBoost,Rolling_Min_20,down,Close_to_SMA_200,down,BB_Bandwidth,down
PGLC,Open,10,Random Forest,ATR_Pct,down,Month,up,Close_to_SMA_200,down
PPL,Open,10,Random Forest,Rolling_Min_20,down,Month,up,Close_to_SMA_200,down
PSEL,Open,10,Random Forest,Rolling_Min_20,down,Close_to_SMA_200,down,Volume_SMA_20,up
SSGC,Open,10,XGBoost,Volume_SMA_20,down,Close_to_SMA_200,down,Ticker_encoded,down
SSOM,Open,10,Random Forest,Close_to_SMA_200,down,Rolling_Min_20,down,Month,up
