Ticker,Model,Target,MAE,MAPE,Accuracy_%
MLCF,Linear Regression,Target_High,0.48,1.2,98.8
MLCF,Random Forest,Target_High,0.48,1.2,98.8
MLCF,XGBoost,Target_High,0.48,1.21,98.79
MLCF,LSTM,Target_High,0.51,1.3,98.7
MLCF,Random Forest,Target_Low,0.46,1.22,98.78
MLCF,XGBoost,Target_Low,0.47,1.23,98.77
MLCF,Linear Regression,Target_Low,0.47,1.24,98.76
MLCF,LSTM,Target_Low,0.47,1.26,98.74
NESTLE,LSTM,Target_High,82.95,1.14,98.86
NESTLE,Linear Regression,Target_High,92.05,1.23,98.77
NESTLE,XGBoost,Target_High,92.13,1.24,98.76
NESTLE,Random Forest,Target_High,93.11,1.25,98.75
NESTLE,LSTM,Target_Low,70.66,1.01,98.99
NESTLE,XGBoost,Target_Low,83.0,1.16,98.84
NESTLE,Linear Regression,Target_Low,85.04,1.19,98.81
NESTLE,Random Forest,Target_Low,86.06,1.2,98.8
NETSOL,Random Forest,Target_High,1.97,1.48,98.52
NETSOL,Linear Regression,Target_High,2.01,1.51,98.49
NETSOL,XGBoost,Target_High,2.0,1.51,98.49
NETSOL,LSTM,Target_High,2.19,1.61,98.39
NETSOL,Linear Regression,Target_Low,1.95,1.56,98.44
NETSOL,Random Forest,Target_Low,1.98,1.58,98.42
NETSOL,LSTM,Target_Low,2.04,1.58,98.42
NETSOL,XGBoost,Target_Low,2.03,1.62,98.38
OGDC,LSTM,Target_High,2.19,1.4,98.6
OGDC,Random Forest,Target_High,2.2,1.44,98.56
OGDC,XGBoost,Target_High,2.21,1.45,98.55
OGDC,Linear Regression,Target_High,2.23,1.46,98.54
OGDC,LSTM,Target_Low,1.6,1.07,98.93
OGDC,Random Forest,Target_Low,1.76,1.2,98.8
OGDC,Linear Regression,Target_Low,1.79,1.23,98.77
OGDC,XGBoost,Target_Low,1.81,1.23,98.77
PAKT,LSTM,Target_High,21.71,2.0,98.0
PAKT,Random Forest,Target_High,22.64,2.1,97.9
PAKT,Linear Regression,Target_High,22.79,2.11,97.89
PAKT,XGBoost,Target_High,22.8,2.11,97.89
PAKT,LSTM,Target_Low,21.37,2.11,97.89
PAKT,Random Forest,Target_Low,23.17,2.28,97.72
PAKT,XGBoost,Target_Low,23.43,2.3,97.7
PAKT,Linear Regression,Target_Low,23.47,2.31,97.69
PPL,XGBoost,Target_High,1.84,1.36,98.64
PPL,LSTM,Target_High,1.86,1.37,98.63
PPL,Random Forest,Target_High,1.89,1.4,98.6
PPL,Linear Regression,Target_High,1.9,1.42,98.58
PPL,LSTM,Target_Low,1.49,1.14,98.86
PPL,Random Forest,Target_Low,1.63,1.27,98.73
PPL,Linear Regression,Target_Low,1.64,1.29,98.71
PPL,XGBoost,Target_Low,1.66,1.29,98.71
PSO,Linear Regression,Target_High,2.91,1.3,98.7
PSO,Random Forest,Target_High,2.96,1.32,98.68
PSO,XGBoost,Target_High,2.96,1.32,98.68
PSO,LSTM,Target_High,3.17,1.38,98.62
PSO,LSTM,Target_Low,2.42,1.16,98.84
PSO,Linear Regression,Target_Low,2.55,1.26,98.74
PSO,Random Forest,Target_Low,2.61,1.27,98.73
PSO,XGBoost,Target_Low,2.6,1.28,98.72
SYS,XGBoost,Target_High,5.17,1.08,98.92
SYS,Random Forest,Target_High,5.19,1.09,98.91
SYS,Linear Regression,Target_High,5.29,1.12,98.88
SYS,LSTM,Target_High,5.87,1.23,98.77
SYS,Linear Regression,Target_Low,4.85,1.08,98.92
SYS,Random Forest,Target_Low,4.82,1.08,98.92
SYS,XGBoost,Target_Low,4.82,1.08,98.92
SYS,LSTM,Target_Low,4.92,1.09,98.91
TRG,Random Forest,Target_High,1.0,1.56,98.44
TRG,XGBoost,Target_High,1.01,1.57,98.43
TRG,Linear Regression,Target_High,1.01,1.58,98.42
TRG,LSTM,Target_High,1.08,1.73,98.27
TRG,Linear Regression,Target_Low,0.93,1.54,98.46
TRG,Random Forest,Target_Low,0.93,1.54,98.46
TRG,XGBoost,Target_Low,0.94,1.56,98.44
TRG,LSTM,Target_Low,0.93,1.58,98.42
UBL,Random Forest,Target_High,2.86,1.07,98.93
UBL,Linear Regression,Target_High,2.91,1.09,98.91
UBL,XGBoost,Target_High,2.91,1.09,98.91
UBL,LSTM,Target_High,3.45,1.26,98.74
UBL,Random Forest,Target_Low,2.3,0.9,99.1
UBL,Linear Regression,Target_Low,2.4,0.93,99.07
UBL,XGBoost,Target_Low,2.39,0.94,99.06
UBL,LSTM,Target_Low,2.55,0.96,99.04
UNITY,Linear Regression,Target_High,0.37,1.34,98.66
UNITY,XGBoost,Target_High,0.38,1.35,98.65
UNITY,Random Forest,Target_High,0.38,1.36,98.64
UNITY,LSTM,Target_High,0.41,1.45,98.55
UNITY,LSTM,Target_Low,0.3,1.13,98.87
UNITY,Linear Regression,Target_Low,0.31,1.2,98.8
UNITY,XGBoost,Target_Low,0.32,1.25,98.75
UNITY,Random Forest,Target_Low,0.33,1.26,98.74
