Ticker,Model,Target,MAE,MAPE,Accuracy_%,FeatureSet
ENGROH,Random Forest,Target_Low,1.67,1.09,98.91,"New (return target, stationary features)"
ENGROH,Random Forest,Target_Low,1.81,1.18,98.82,"Old (price target, raw features)"
ENGROH,XGBoost,Target_Low,1.73,1.13,98.87,"New (return target, stationary features)"
ENGROH,XGBoost,Target_Low,1.83,1.17,98.83,"Old (price target, raw features)"
FFC,LSTM,Target_High,3.49,1.56,98.44,"New (return target, stationary features)"
FFC,LSTM,Target_High,9.87,4.52,95.48,"Old (price target, raw features)"
FFC,Linear Regression,Target_High,2.91,1.32,98.68,"New (return target, stationary features)"
FFC,Linear Regression,Target_High,2.91,1.33,98.67,"Old (price target, raw features)"
FFC,Random Forest,Target_High,2.92,1.33,98.67,"New (return target, stationary features)"
FFC,Random Forest,Target_High,3.13,1.44,98.56,"Old (price target, raw features)"
FFC,XGBoost,Target_High,2.88,1.31,98.69,"New (return target, stationary features)"
FFC,XGBoost,Target_High,4.17,1.73,98.27,"Old (price target, raw features)"
FFC,LSTM,Target_Low,2.42,1.1,98.9,"New (return target, stationary features)"
FFC,LSTM,Target_Low,6.2,3.02,96.98,"Old (price target, raw features)"
FFC,Linear Regression,Target_Low,2.21,1.04,98.96,"New (return target, stationary features)"
FFC,Linear Regression,Target_Low,2.45,1.2,98.8,"Old (price target, raw features)"
FFC,Random Forest,Target_Low,2.22,1.05,98.95,"New (return target, stationary features)"
FFC,Random Forest,Target_Low,2.77,1.27,98.73,"Old (price target, raw features)"
FFC,XGBoost,Target_Low,2.23,1.06,98.94,"New (return target, stationary features)"
FFC,XGBoost,Target_Low,3.5,1.51,98.49,"Old (price target, raw features)"
HBL,LSTM,Target_High,1.79,1.29,98.71,"New (return target, stationary features)"
HBL,LSTM,Target_High,5.42,4.07,95.93,"Old (price target, raw features)"
HBL,Linear Regression,Target_High,1.44,1.06,98.94,"New (return target, stationary features)"
HBL,Linear Regression,Target_High,1.51,1.12,98.88,"Old (price target, raw features)"
HBL,Random Forest,Target_High,1.44,1.06,98.94,"New (return target, stationary features)"
HBL,Random Forest,Target_High,1.52,1.11,98.89,"Old (price target, raw features)"
HBL,XGBoost,Target_High,1.41,1.05,98.95,"New (return target, stationary features)"
HBL,XGBoost,Target_High,1.44,1.06,98.94,"Old (price target, raw features)"
HBL,LSTM,Target_Low,1.19,0.92,99.08,"New (return target, stationary features)"
HBL,LSTM,Target_Low,5.0,3.92,96.08,"Old (price target, raw features)"
HBL,Linear Regression,Target_Low,1.2,0.94,99.06,"New (return target, stationary features)"
HBL,Linear Regression,Target_Low,1.38,1.1,98.9,"Old (price target, raw features)"
HBL,Random Forest,Target_Low,1.19,0.93,99.07,"New (return target, stationary features)"
HBL,Random Forest,Target_Low,1.24,0.98,99.02,"Old (price target, raw features)"
HBL,XGBoost,Target_Low,1.13,0.89,99.11,"New (return target, stationary features)"
HBL,XGBoost,Target_Low,1.19,0.93,99.07,"Old (price target, raw features)"
HUBC,LSTM,Target_High,1.8,1.35,98.65,"New (return target, stationary features)"
HUBC,LSTM,Target_High,7.07,5.5,94.5,"Old (price target, raw features)"
HUBC,Linear Regression,Target_High,1.63,1.23,98.77,"New (return target, stationary features)"
HUBC,Linear Regression,Target_High,1.74,1.33,98.67,"Old (price target, raw features)"
HUBC,Random Forest,Target_High,1.64,1.24,98.76,"New (return target, stationary features)"
HUBC,Random Forest,Target_High,1.7,1.28,98.72,"Old (price target, raw features)"
HUBC,XGBoost,Target_High,1.61,1.22,98.78,"New (return target, stationary features)"
HUBC,XGBoost,Target_High,1.6,1.22,98.78,"Old (price target, raw features)"
HUBC,LSTM,Target_Low,1.67,1.34,98.66,"New (return target, stationary features)"
HUBC,LSTM,Target_Low,13.48,12.18,87.82,"Old (price target, raw features)"
HUBC,Linear Regression,Target_Low,1.57,1.26,98.74,"New (return target, stationary features)"
HUBC,Linear Regression,Target_Low,1.74,1.41,98.59,"Old (price target, raw features)"
HUBC,Random Forest,Target_Low,1.57,1.27,98.73,"New (return target, stationary features)"
HUBC,Random Forest,Target_Low,1.65,1.33,98.67,"Old (price target, raw features)"
HUBC,XGBoost,Target_Low,1.58,1.27,98.73,"New (return target, stationary features)"
HUBC,XGBoost,Target_Low,1.65,1.32,98.68,"Old (price target, raw features)"
ILP,LSTM,Target_High,0.92,1.25,98.75,"New (return target, stationary features)"
ILP,LSTM,Target_High,2.7,3.69,96.31,"Old (price target, raw features)"
ILP,Linear Regression,Target_High,0.83,1.12,98.88,"New (return target, stationary features)"
ILP,Linear Regression,Target_High,1.23,1.68,98.32,"Old (price target, raw features)"
ILP,Random Forest,Target_High,0.83,1.13,98.87,"New (return target, stationary features)"
ILP,Random Forest,Target_High,0.87,1.18,98.82,"Old (price target, raw features)"
ILP,XGBoost,Target_High,0.85,1.15,98.85,"New (return target, stationary features)"
ILP,XGBoost,Target_High,0.89,1.2,98.8,"Old (price target, raw features)"
ILP,LSTM,Target_Low,0.88,1.25,98.75,"New (return target, stationary features)"
ILP,LSTM,Target_Low,4.06,5.7,94.3,"Old (price target, raw features)"
ILP,Linear Regression,Target_Low,0.87,1.23,98.77,"New (return target, stationary features)"
ILP,Linear Regression,Target_Low,1.31,1.85,98.15,"Old (price target, raw features)"
ILP,Random Forest,Target_Low,0.84,1.19,98.81,"New (return target, stationary features)"
ILP,Random Forest,Target_Low,0.81,1.15,98.85,"Old (price target, raw features)"
ILP,XGBoost,Target_Low,0.85,1.22,98.78,"New (return target, stationary features)"
ILP,XGBoost,Target_Low,0.84,1.19,98.81,"Old (price target, raw features)"
INDU,LSTM,Target_High,18.11,1.01,98.99,"New (return target, stationary features)"
INDU,LSTM,Target_High,42.57,2.4,97.6,"Old (price target, raw features)"
INDU,Linear Regression,Target_High,17.6,1.0,99.0,"New (return target, stationary features)"
INDU,Linear Regression,Target_High,17.32,0.99,99.01,"Old (price target, raw features)"
INDU,Random Forest,Target_High,18.23,1.04,98.96,"New (return target, stationary features)"
INDU,Random Forest,Target_High,20.87,1.18,98.82,"Old (price target, raw features)"
INDU,XGBoost,Target_High,18.31,1.04,98.96,"New (return target, stationary features)"
