Ticker,Model,Target,MAE,MAPE,Horizon,Directional_Accuracy_%,Improvement_over_Naive_%
BAHL,LSTM,Target_Close,1.6,1.5,1,52.31,-0.95
BAHL,Random Forest,Target_Close,1.54,1.47,1,51.63,-1.62
BAHL,Linear Regression,Target_Close,1.54,1.47,1,50.41,-1.69
BAHL,XGBoost,Target_Close,1.54,1.48,1,49.19,-1.73
BAHL,GRU,Target_Close,1.65,1.55,1,49.54,-4.48
BAHL,Random Forest,Target_Open,0.75,0.73,1,59.76,1.03
BAHL,XGBoost,Target_Open,0.76,0.74,1,55.69,-0.18
BAHL,Linear Regression,Target_Open,0.76,0.74,1,50.0,-0.42
BAHL,LSTM,Target_Open,0.81,0.78,1,52.31,-3.01
BAHL,GRU,Target_Open,0.86,0.82,1,48.61,-9.51
COLG,Random Forest,Target_Close,10.15,0.77,1,52.85,1.96
COLG,XGBoost,Target_Close,10.37,0.78,1,56.1,-0.23
COLG,Linear Regression,Target_Close,10.55,0.8,1,52.44,-1.94
COLG,LSTM,Target_Close,11.38,0.88,1,44.91,-13.56
COLG,GRU,Target_Close,11.72,0.91,1,49.54,-16.9
COLG,Linear Regression,Target_Open,6.71,0.51,1,58.94,-0.43
COLG,LSTM,Target_Open,6.11,0.48,1,67.13,-0.61
COLG,Random Forest,Target_Open,6.74,0.51,1,58.54,-0.9
COLG,XGBoost,Target_Open,6.79,0.51,1,53.25,-1.74
COLG,GRU,Target_Open,6.86,0.54,1,60.19,-12.92
DGKC,Linear Regression,Target_Close,1.59,1.92,1,52.03,-0.74
DGKC,LSTM,Target_Close,1.63,1.94,1,48.61,-1.03
DGKC,XGBoost,Target_Close,1.59,1.92,1,52.85,-1.05
DGKC,Random Forest,Target_Close,1.6,1.92,1,49.19,-1.37
DGKC,GRU,Target_Close,1.65,1.96,1,48.15,-1.99
DGKC,XGBoost,Target_Open,0.42,0.52,1,74.8,19.85
DGKC,Random Forest,Target_Open,0.43,0.53,1,77.24,18.3
DGKC,LSTM,Target_Open,0.44,0.53,1,74.07,16.79
DGKC,Linear Regression,Target_Open,0.45,0.55,1,65.45,15.01
DGKC,GRU,Target_Open,0.5,0.61,1,64.35,4.15
EFERT,LSTM,Target_Close,2.2,1.26,1,53.7,-0.93
EFERT,Random Forest,Target_Close,2.2,1.32,1,43.5,-2.02
EFERT,Linear Regression,Target_Close,2.24,1.34,1,45.12,-3.55
EFERT,XGBoost,Target_Close,2.24,1.35,1,41.06,-3.94
EFERT,GRU,Target_Close,2.27,1.3,1,44.44,-4.2
EFERT,Random Forest,Target_Open,0.65,0.39,1,62.6,1.81
EFERT,Linear Regression,Target_Open,0.65,0.39,1,58.13,1.38
EFERT,XGBoost,Target_Open,0.66,0.39,1,58.94,-0.1
EFERT,LSTM,Target_Open,0.74,0.43,1,62.04,-7.98
EFERT,GRU,Target_Open,0.81,0.48,1,46.3,-17.37
ENGROH,Linear Regression,Target_Close,2.39,1.51,1,50.81,1.64
ENGROH,Random Forest,Target_Close,2.43,1.55,1,51.22,-0.14
ENGROH,LSTM,Target_Close,2.67,1.65,1,48.15,-1.2
ENGROH,XGBoost,Target_Close,2.48,1.58,1,50.41,-2.05
ENGROH,GRU,Target_Close,2.71,1.68,1,47.69,-2.75
ENGROH,Linear Regression,Target_Open,1.38,0.87,1,56.1,7.26
ENGROH,Random Forest,Target_Open,1.45,0.91,1,45.53,2.22
ENGROH,LSTM,Target_Open,1.56,0.95,1,56.48,1.66
ENGROH,XGBoost,Target_Open,1.47,0.92,1,52.44,1.36
ENGROH,GRU,Target_Open,1.7,1.04,1,46.3,-6.92
FFC,LSTM,Target_Close,3.85,1.73,1,56.48,0.63
FFC,Linear Regression,Target_Close,3.51,1.61,1,53.25,-0.4
FFC,Random Forest,Target_Close,3.53,1.62,1,52.85,-0.86
FFC,GRU,Target_Close,3.99,1.78,1,52.31,-2.99
FFC,XGBoost,Target_Close,3.64,1.66,1,54.47,-4.09
FFC,Linear Regression,Target_Open,0.91,0.45,1,65.85,7.59
FFC,LSTM,Target_Open,0.98,0.47,1,70.37,7.41
FFC,XGBoost,Target_Open,0.98,0.48,1,68.29,0.87
FFC,Random Forest,Target_Open,1.1,0.51,1,59.76,-11.91
FFC,GRU,Target_Open,1.36,0.61,1,43.06,-28.99
HBL,XGBoost,Target_Close,1.75,1.33,1,52.85,5.21
HBL,Random Forest,Target_Close,1.77,1.34,1,58.13,4.12
HBL,Linear Regression,Target_Close,1.82,1.37,1,57.32,1.57
HBL,LSTM,Target_Close,2.0,1.49,1,48.15,-2.04
HBL,GRU,Target_Close,2.04,1.52,1,56.94,-4.09
HBL,Random Forest,Target_Open,0.58,0.45,1,60.57,3.13
HBL,XGBoost,Target_Open,0.59,0.46,1,60.16,0.87
HBL,Linear Regression,Target_Open,0.59,0.46,1,60.98,0.77
HBL,LSTM,Target_Open,0.63,0.48,1,58.8,-7.36
HBL,GRU,Target_Open,0.64,0.49,1,53.7,-10.05
HUBC,LSTM,Target_Close,2.19,1.7,1,51.85,-0.52
HUBC,Random Forest,Target_Close,2.09,1.63,1,42.28,-2.05
HUBC,Linear Regression,Target_Close,2.09,1.64,1,43.9,-2.21
HUBC,XGBoost,Target_Close,2.14,1.68,1,47.97,-4.65
HUBC,GRU,Target_Close,2.28,1.78,1,50.46,-4.92
HUBC,Random Forest,Target_Open,0.61,0.48,1,78.05,15.81
HUBC,Linear Regression,Target_Open,0.63,0.49,1,71.14,12.72
