Model,Target,Horizon,Epoch,Train_Loss,Val_Loss
LSTM,Open,1,1,0.0004292036755941808,0.0003222581872250885
LSTM,Open,1,2,0.00033582927426323295,0.0003156051388941705
LSTM,Open,1,3,0.00033300856011919677,0.0003200750215910375
LSTM,Open,1,4,0.0003343016724102199,0.0003155962622258812
LSTM,Open,1,5,0.0003303959092590958,0.000329933303873986
LSTM,Open,1,6,0.00032789772376418114,0.0003100545145571232
LSTM,Open,1,7,0.0003253148461226374,0.00031941512133926153
LSTM,Open,1,8,0.0003232622111681849,0.0003295928181614727
LSTM,Open,1,9,0.00032224052120000124,0.0003184983797837049
LSTM,Open,1,10,0.00032004390959627926,0.0003212996816728264
LSTM,Open,1,11,0.00031694050994701684,0.00032568685128353536
LSTM,Open,1,12,0.00031484541250392795,0.0003193400625605136
LSTM,Open,1,13,0.0003117571759503335,0.000322751555358991
LSTM,Open,1,14,0.00030851029441691935,0.0003396666725166142
LSTM,Open,1,15,0.0003049348306376487,0.00032278356957249343
LSTM,Open,1,16,0.0003024053294211626,0.000320886931149289
GRU,Open,1,1,0.0008784529344922407,0.0005245761713013053
GRU,Open,1,2,0.00036364349999549057,0.00042205091449432075
GRU,Open,1,3,0.0003446068731328132,0.0003415413375478238
GRU,Open,1,4,0.00033958253145644916,0.00032667143386788666
GRU,Open,1,5,0.0003366815402261993,0.0003331353946123272
GRU,Open,1,6,0.0003360715646234704,0.0003292736946605146
GRU,Open,1,7,0.00033301767924099083,0.0003400731657166034
GRU,Open,1,8,0.0003316714781593285,0.00033807457657530904
GRU,Open,1,9,0.0003295631893097366,0.0003605246893130243
GRU,Open,1,10,0.0003285966373695454,0.00032969354651868343
GRU,Open,1,11,0.0003256597912434807,0.00033273641020059586
GRU,Open,1,12,0.00032302553486860454,0.00033984394394792616
GRU,Open,1,13,0.0003220012252696344,0.0003436994447838515
GRU,Open,1,14,0.00031889487751274445,0.0003602270735427737
LSTM,Close,1,1,0.0008118499536067247,0.000765702105127275
LSTM,Close,1,2,0.0006618712795898318,0.0007571398746222258
LSTM,Close,1,3,0.0006617566687054932,0.000755127111915499
LSTM,Close,1,4,0.0006613002042286098,0.0007551052258349955
LSTM,Close,1,5,0.0006612496799789369,0.0007625932339578867
LSTM,Close,1,6,0.0006654148455709219,0.000754106673412025
LSTM,Close,1,7,0.0006612524739466608,0.0007654957007616758
LSTM,Close,1,8,0.0006608427502214909,0.0007607732550241053
LSTM,Close,1,9,0.0006608868716284633,0.0007586698047816753
LSTM,Close,1,10,0.0006612748838961124,0.0007625581929460168
LSTM,Close,1,11,0.0006611727294512093,0.0007597415242344141
LSTM,Close,1,12,0.0006612223805859685,0.0007624512654729187
LSTM,Close,1,13,0.0006614060257561505,0.0007612975314259529
LSTM,Close,1,14,0.0006614896701648831,0.0007563932449556887
LSTM,Close,1,15,0.0006613014847971499,0.0007581858080811799
LSTM,Close,1,16,0.000661187048535794,0.0007593916379846632
GRU,Close,1,1,0.0012170301186155293,0.0009071415406651795
GRU,Close,1,2,0.0006896196765890238,0.00081574113573879
GRU,Close,1,3,0.0006667577115677541,0.0007775814738124609
GRU,Close,1,4,0.0006619697010807013,0.0007778231520205736
GRU,Close,1,5,0.0006582925182181896,0.000802358437795192
GRU,Close,1,6,0.0006567659751822393,0.0007780535379424691
GRU,Close,1,7,0.0006515493154321025,0.0008282822091132402
GRU,Close,1,8,0.0006471191019955741,0.000796708685811609
GRU,Close,1,9,0.0006378836135351406,0.0008300928748212755
GRU,Close,1,10,0.0006323955723389503,0.0007941941148601472
GRU,Close,1,11,0.0006240962856025455,0.0008173997048288584
GRU,Close,1,12,0.0006180734098034525,0.0008462536497972906
GRU,Close,1,13,0.000612905307725561,0.0008147599291987717
LSTM,Open,5,1,0.0037963679060339928,0.004285744391381741
LSTM,Open,5,2,0.003428473835811019,0.00420265831053257
LSTM,Open,5,3,0.003340862225741148,0.004147781990468502
LSTM,Open,5,4,0.0032523097470402718,0.004157202783972025
LSTM,Open,5,5,0.003127794712781906,0.00424141064286232
LSTM,Open,5,6,0.0029787591192871332,0.004111845977604389
LSTM,Open,5,7,0.0028283826541155577,0.004663401283323765
LSTM,Open,5,8,0.002683421829715371,0.004732511471956968
